factor_id,factor_name,segment_id,trend,reversal_segment_id,reversal_trend,realtime_trend,matched_segment_id,matched_segment_trend,matched_segment_source,signal_date,signal_close,factor_value,position_scale,is_reversal_window,is_effective_signal,end_date,end_close,end_signal_date,end_signal_close,reversal_start_date,reversal_end_date,days_to_trend_end
51,price_volume_up_oi_down_short_5d,41.0,up_trend,,,up_trend,41.0,up_trend,segment_id,2025-12-22,114367.91199111343,0.5885507609649494,-1.0,0,0,2025-12-26,130537.55436496645,2025-12-29,119352.66209023353,2025-12-23,2025-12-30,4.0
51,price_volume_up_oi_down_short_5d,41.0,up_trend,41.0,up_trend,up_trend,41.0,up_trend,reversal_segment_id,2025-12-23,120307.89126146983,0.6359008513071152,-1.0,1,1,2025-12-26,130537.55436496645,2025-12-29,119352.66209023353,2025-12-23,2025-12-30,3.0
51,price_volume_up_oi_down_short_5d,41.0,up_trend,41.0,up_trend,up_trend,41.0,up_trend,reversal_segment_id,2025-12-24,124702.76002600374,0.3955423040057349,-1.0,1,1,2025-12-26,130537.55436496645,2025-12-29,119352.66209023353,2025-12-23,2025-12-30,2.0
51,price_volume_up_oi_down_short_5d,41.0,up_trend,41.0,up_trend,up_trend,41.0,up_trend,reversal_segment_id,2025-12-26,130537.55436496645,0.23517656606517864,-1.0,1,1,2025-12-26,130537.55436496645,2025-12-29,119352.66209023353,2025-12-23,2025-12-30,0.0
51,price_volume_up_oi_down_short_5d,42.0,up_trend,42.0,up_trend,up_trend,42.0,up_trend,reversal_segment_id,2026-01-13,167443.3787281536,0.3864780268135271,-1.0,1,1,2026-01-13,167443.3787281536,2026-01-16,146675.0696779114,2026-01-07,2026-01-15,0.0
51,price_volume_up_oi_down_short_5d,,no_trend,42.0,up_trend,up_trend,42.0,up_trend,reversal_segment_id,2026-01-14,162417.9492236421,0.6706198810777921,-1.0,1,1,2026-01-13,167443.3787281536,2026-01-16,146675.0696779114,2026-01-07,2026-01-15,-1.0
51,price_volume_up_oi_down_short_5d,,no_trend,42.0,up_trend,up_trend,42.0,up_trend,reversal_segment_id,2026-01-15,163539.22487832644,0.7893425119350531,-1.0,1,1,2026-01-13,167443.3787281536,2026-01-16,146675.0696779114,2026-01-07,2026-01-15,-2.0
51,price_volume_up_oi_down_short_5d,43.0,up_trend,,,down_trend,43.0,up_trend,segment_id,2026-01-16,146675.0696779114,0.5954720011744683,-1.0,0,0,2026-01-23,182015.7536821401,2026-01-26,166009.76492428427,2026-01-20,2026-01-27,7.0
51,price_volume_up_oi_down_short_5d,43.0,up_trend,,,down_trend,43.0,up_trend,segment_id,2026-01-19,147638.95940083844,0.3912247645599588,-1.0,0,0,2026-01-23,182015.7536821401,2026-01-26,166009.76492428427,2026-01-20,2026-01-27,4.0
51,price_volume_up_oi_down_short_5d,44.0,down_trend,44.0,down_trend,down_trend,44.0,down_trend,reversal_segment_id,2026-01-29,165121.7396866089,0.19888898080801976,-1.0,1,0,2026-02-02,133342.39018163507,2026-02-03,148148.53656549432,2026-01-28,2026-02-04,4.0
51,price_volume_up_oi_down_short_5d,46.0,up_trend,45.0,up_trend,down_trend,45.0,up_trend,reversal_segment_id,2026-03-03,151111.41966204415,0.3514212846005994,-1.0,1,1,2026-02-27,176159.30346692898,2026-03-03,151111.41966204415,2026-02-24,2026-03-03,-4.0
51,price_volume_up_oi_down_short_5d,46.0,up_trend,,,down_trend,46.0,up_trend,segment_id,2026-03-04,153158.99257623355,0.29230403779707526,-1.0,0,0,2026-03-10,162775.55999529533,2026-03-11,155068.5139548409,2026-03-05,2026-03-12,6.0
51,price_volume_up_oi_down_short_5d,46.0,up_trend,46.0,up_trend,down_trend,46.0,up_trend,reversal_segment_id,2026-03-05,155753.50580089225,0.12235474809602634,-1.0,1,1,2026-03-10,162775.55999529533,2026-03-11,155068.5139548409,2026-03-05,2026-03-12,5.0
