factor_id,factor_name,signal_date,signal_close,factor_value,position,position_scale,daily_return,price_ma_5,price_ma_10,price_ma_20,is_ma_bullish,open_interest,open_interest_ma_5,open_interest_ma_10,is_open_interest_ma_bullish,speculation,speculation_median_past,speculation_mad_past,speculation_mad_score
12,price_up_speculation_up,2019-07-18,4641.400916968963,2.1126486109261595,0.0,0.0,0.028539689923060996,4529.990381708684,4511.764334232483,4411.28833198515,1,198480.0,176861.8,175542.7,1,0.1848165942243891,-0.15880557027217623,0.10970587986293176,2.1126486109261595
12,price_up_speculation_up,2019-07-19,4620.557341931373,5.343914887448137,0.0,0.0,-0.004490793924176284,4564.980076492373,4530.337151318274,4425.302070626165,1,182057.0,179976.0,177391.1,1,0.7383168073687713,-0.1308706150040114,0.10970587986293176,5.343914887448137
12,price_up_speculation_up,2019-08-28,4261.98643437863,1.810091198991859,0.0,0.0,-3.825123945810915e-06,4253.128820712326,4185.012723536223,4181.193308796761,1,172200.0,163469.4,162138.2,1,0.4572851704267618,-0.054625359120223455,0.19075222400357306,1.810091198991859
12,price_up_speculation_up,2019-09-03,4361.300208826847,1.4351832082741471,0.0,0.0,0.013968803633725768,4294.972920847997,4262.116236206578,4192.541141980595,1,185321.0,172821.4,166674.0,1,0.4375808947655629,-0.05473371290226656,0.23137230962006783,1.4351832082741471
12,price_up_speculation_up,2019-09-06,4271.8230135650665,2.138357125067084,0.0,0.0,-0.018219129172062365,4325.70796462094,4302.75488834263,4214.900784357524,1,176409.0,179519.2,172960.2,1,0.4062829480176821,-0.03522352235218335,0.13926206760379975,2.138357125067084
12,price_up_speculation_up,2019-10-22,4527.161381836969,1.8823982514454143,0.0,0.0,-0.005384950327090965,4426.904963577374,4383.148240411096,4376.750538927666,1,212905.0,205972.8,196434.5,1,0.1906240472746007,-0.26451810947306126,0.16308407571965833,1.8823982514454143
12,price_up_speculation_up,2019-10-23,4496.614449111723,3.823913785451918,0.0,0.0,-0.006747480407436002,4457.41798100806,4402.791488610348,4379.254362624335,1,204497.0,208332.4,199427.2,1,0.6600600801801131,-0.26451810947306126,0.16308407571965833,3.823913785451918
12,price_up_speculation_up,2019-10-25,4601.472772558445,1.2183870518813011,0.0,0.0,0.020607966445224335,4537.096204270883,4442.456189894463,4387.265228340517,1,228850.0,216251.4,205364.1,1,0.3521881618858228,-0.08108871371174335,0.23985912229892764,1.2183870518813011
12,price_up_speculation_up,2019-10-28,4718.127122295959,1.8547988181729895,0.0,0.0,0.02535152450172018,4570.387246935676,4481.0720504864175,4403.963971626539,1,255266.0,221586.8,212217.5,1,0.6489473515807496,-0.08108871371174335,0.2654749266059018,1.8547988181729895
12,price_up_speculation_up,2020-02-19,3602.55799906701,2.492617203496458,0.0,0.0,0.025436075595969054,3496.425544849329,3475.3675011599507,3459.3313001092056,1,452309.0,453581.4,429350.2,1,0.8367939620060035,0.5187460770017778,0.08606229596900422,2.492617203496458
