factor_id,factor_name,signal_date,signal_close,factor_value,position,position_scale,speculation,speculation_first_diff,speculation_down_flag,speculation_down_days,speculation_down_streak
23,speculation_continuous_drop,2025-08-19,87154.79860574917,4.0,0.0,0.0,0.0840009313059253,-0.35348186193438974,1.0,4.0,1
23,speculation_continuous_drop,2025-09-12,71280.28673054207,4.0,0.0,0.0,-0.3760216348394565,-0.05450125967294739,1.0,4.0,2
23,speculation_continuous_drop,2025-12-02,96029.9968753506,4.0,0.0,0.0,-0.585978044618334,-0.2599887206449638,1.0,4.0,4
23,speculation_continuous_drop,2025-12-03,93184.9829012468,4.0,0.0,0.0,-0.1946277273691737,0.39135031724916036,0.0,4.0,0
23,speculation_continuous_drop,2025-12-19,111306.9801743984,4.0,0.0,0.0,0.132808986731991,-0.07404036852880469,1.0,4.0,2
23,speculation_continuous_drop,2026-01-05,130229.31378172876,4.0,0.0,0.0,-0.4849122867235071,-0.19539466599564054,1.0,4.0,3
23,speculation_continuous_drop,2026-01-06,138166.55286437558,4.0,0.0,0.0,-0.6208730800024855,-0.13596079327897842,1.0,4.0,4
23,speculation_continuous_drop,2026-01-07,142526.30217623973,4.0,0.0,0.0,-0.2685744452353813,0.3522986347671042,0.0,4.0,0
23,speculation_continuous_drop,2026-02-13,152753.48003580244,4.0,0.0,0.0,-0.5544443856328745,-0.013663490072505446,1.0,4.0,2
23,speculation_continuous_drop,2026-02-24,164441.36907815718,4.0,0.0,0.0,-0.830299284393825,-0.2758548987609506,1.0,4.0,3
23,speculation_continuous_drop,2026-03-05,155753.50580089225,4.0,0.0,0.0,-0.4879877228265748,-0.010710237437788928,1.0,4.0,2
23,speculation_continuous_drop,2026-03-06,156224.18158616606,4.0,0.0,0.0,-0.774019476374786,-0.28603175354821114,1.0,4.0,3
23,speculation_continuous_drop,2026-03-10,162775.55999529533,4.0,0.0,0.0,-0.7783110639803302,-0.578924724912511,1.0,4.0,1
23,speculation_continuous_drop,2026-04-03,157304.77507906873,4.0,0.0,0.0,-0.9681879234432618,-0.364772146057168,1.0,4.0,3
