date,open,close,high,low,volume,total_turnover,open_interest,speculation,factor_id,factor_name,factor_value,speculation_change,speculation_change_rate,speculation_change_rate_rank,speculation_fast_rise_signal,speculation_fast_drop_signal,signal_type,signal,position,position_scale
2023-11-16,135303.5868738713,134609.8775773196,136017.58446682114,134393.7981637601,274014.0,38208403750.0,217280.0,0.2319923556029504,21,speculation_change_rate,-0.19495722040989405,-0.21685986062762058,-0.19495722040989405,0.2,0,0,none,0,1.0,1.0
2023-11-17,133762.79942532445,132873.24343116445,134517.12097349545,132052.15319156775,308863.0,42317524400.0,218608.0,0.3456176412901895,21,speculation_change_rate,0.12033224169493506,0.11362528568723912,0.12033224169493506,0.7,0,0,none,0,1.0,1.0
2023-11-20,132731.82577511464,130451.21280959838,135304.18576619934,130139.88695080596,333700.0,45022643900.0,226705.0,0.3865927729070039,21,speculation_change_rate,0.041826196690253115,0.040975131616814375,0.041826196690253115,0.7,0,0,none,0,1.0,1.0
2023-11-21,131006.93618742743,127152.50080318702,131469.18950293734,126354.58695177289,427778.0,56326036200.0,233445.0,0.6056578661009121,21,speculation_change_rate,0.24491230936851704,0.2190650931939082,0.24491230936851704,0.85,0,0,none,0,1.0,1.0
2023-11-22,127097.60678220524,120061.07353298634,127540.60239833516,119750.9504768252,698710.0,87397241400.0,238614.0,1.0743885942000646,21,speculation_change_rate,0.5979646538375178,0.4687307280991525,0.5979646538375178,1.0,1,0,fast_rise,1,0.0,0.0
2023-11-23,119709.45016250224,119365.8717677746,120959.92410999251,115996.06696568435,738900.0,89301026350.0,238458.0,1.1309693996026733,21,speculation_change_rate,0.05821212060196479,0.05658080540260868,0.05821212060196479,0.65,0,0,none,0,1.0,1.0
2023-11-24,119807.63965909756,119482.67885226436,122878.69956760884,118532.01825251324,828813.0,102701023100.0,249256.0,1.201514075941524,21,speculation_change_rate,0.07309251020439977,0.07054467633885064,0.07309251020439977,0.65,0,0,none,0,1.0,1.0
2023-11-27,119016.59447536772,112159.48302925436,119255.80973463703,112020.54506274564,769509.0,89635026900.0,273942.0,1.0328362439681429,21,speculation_change_rate,-0.1552189790156585,-0.16867783197338104,-0.1552189790156585,0.2,0,0,none,0,1.0,1.0
2023-11-28,110690.6815246072,111092.3585328962,114012.84067256114,109263.85727740756,787827.0,88838963700.0,276354.0,1.0475958700346195,21,speculation_change_rate,0.014869087219484323,0.014759626066476628,0.014869087219484323,0.5,0,0,none,0,1.0,1.0
2023-11-29,111474.49124340437,110509.74250070576,114902.09324844624,108676.26723603514,1067886.0,120029585650.0,315263.0,1.2200290611416147,21,speculation_change_rate,0.18819243614188808,0.17243319110699518,0.18819243614188808,0.75,0,0,none,0,1.0,1.0
