date,open,close,high,low,volume,total_turnover,open_interest,speculation,threshold,realtime_trend,realtime_position,realtime_segment_id,trend,segment_id,is_reversal_window,reversal_segment_id,reversal_trend,is_uptrend_reversal_window,is_downtrend_reversal_window,factor_id,factor_name,factor_value,daily_return,price_ma_5,price_ma_5_prev,price_ma_5_change,volume_ma_5,volume_ma_5_prev,volume_ma_5_change,oi_change_5,oi_change_5_rate,is_price_ma_5_up,is_volume_ma_5_up,is_oi_down_5,price_volume_oi_short_score,signal,position_scale,is_effective_signal
2024-06-03,105538.55901520638,104232.8337393877,105967.89000699564,102581.52712513915,178597.0,18520627200.0,294706.0,-0.5008463782353193,0.0396366856511353,down_trend,-1.0,23.0,down_trend,19.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.0,-0.020236223949511745,106163.37470073847,107765.77397020995,-0.014869278161677157,144929.6,148963.0,-0.027076522357900923,3490.0,0.011984231635624416,0,0,0,0.0,0,1.0,0
2024-06-04,104073.5865619386,103412.69271330288,104799.34987339372,103009.2855527396,102601.0,10573518950.0,298695.0,-1.0685753066008827,0.04,down_trend,-1.0,23.0,down_trend,19.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.03178345934991045,-0.007868355840112806,105567.82493375157,107487.05746347745,-0.017855475580192626,137662.2,133421.6,0.03178345934991045,5975.0,0.020411997813610278,0,1,0,0.03178345934991045,0,1.0,0
2024-06-05,103293.20404106656,101569.71591077892,103871.82714702576,100988.2331278831,158386.0,16032092200.0,302933.0,-0.6484765673101991,0.04,down_trend,-1.0,23.0,down_trend,19.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.08307079791512062,-0.01782157251850458,104582.06918799253,107265.65604167606,-0.025018136771017163,146246.4,135029.4,0.08307079791512062,12471.0,0.04293504830235969,0,1,0,0.08307079791512062,0,1.0,0
2024-06-06,101854.4819833244,102776.45074497032,102932.73623506977,101058.13831856356,123616.0,12522344400.0,296589.0,-0.8751673555463821,0.04,down_trend,-1.0,23.0,down_trend,19.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.0,0.011880852706641631,103675.4742511678,107247.92846949077,-0.033310239827515464,138225.2,138279.0,-0.0003890684774983111,6268.0,0.021589895322763425,0,0,0,0.0,0,1.0,0
2024-06-07,103524.9017051289,101793.61103041032,103980.75464113928,101531.75779083213,124830.0,12690450850.0,296018.0,-0.8634674516230092,0.04,down_trend,-1.0,23.0,down_trend,19.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.02762057959455566,-0.009562888263176417,102757.06082777002,106798.67247953526,-0.037843276118808444,137606.0,133907.4,0.02762057959455566,5270.0,0.01812566208537978,0,1,0,0.02762057959455566,0,1.0,0
2024-06-11,101367.88475338146,98999.5912910619,101940.06773455068,98657.59988800951,144329.0,14335969350.0,301070.0,-0.7352473800619684,0.039149531310611,down_trend,-1.0,23.0,down_trend,19.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.0,-0.027447889028258676,101710.41233810487,106163.37470073847,-0.04194443116739599,130752.4,144929.6,-0.0978212870248728,6364.0,0.021594402557124727,0,0,0,0.0,0,1.0,0
2024-06-12,99215.40800255188,100810.13358861522,100874.321949231,97266.90414610796,216374.0,21241878000.0,299277.0,-0.3243611740522253,0.04,down_trend,-1.0,23.0,down_trend,19.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.1150991339670584,0.01828838153715484,101189.90051316733,105567.82493375157,-0.04147025311293073,153507.0,137662.2,0.1150991339670584,582.0,0.0019484758700346507,0,1,0,0.1150991339670584,0,1.0,0
2024-06-13,100585.37226746247,99983.95861495976,101440.12585459382,98419.87096817304,186720.0,18533787600.0,293681.0,-0.4528839757112751,0.04,down_trend,-1.0,23.0,down_trend,19.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.11893606134663529,-0.008195356401638265,100872.7490540035,104582.06918799253,-0.03546803159269396,159173.8,146246.4,0.08839465450089712,-9252.0,-0.030541406845738167,0,1,1,0.11893606134663529,0,1.0,0
2024-06-14,99740.46534930164,99202.29528514858,100469.67169301271,98719.27748130551,119723.0,11796920950.0,293689.0,-0.897340643179363,0.04,down_trend,-1.0,23.0,down_trend,19.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.15569913437262062,-0.00781788739553102,100157.91796203915,103675.4742511678,-0.0339285285602543,158395.2,138225.2,0.14592129365701756,-2900.0,-0.009777840715603073,0,1,1,0.15569913437262062,0,1.0,0
2024-06-17,98732.98736955838,98055.2021260008,99197.59315424607,97885.08390251844,131025.0,12818387050.0,295014.0,-0.811634668152631,0.04,down_trend,-1.0,23.0,down_trend,19.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.16347336812551355,-0.011563171556167595,99410.23618115726,102757.06082777002,-0.03257026446311395,159634.2,137606.0,0.1600816824847755,-1004.0,-0.003391685640738063,0,1,1,0.16347336812551355,0,1.0,0
2024-06-18,98664.62534356548,95666.7365480961,99093.4248653208,95608.16584864298,204462.0,19657315450.0,307187.0,-0.4070745435243151,0.036966331556781,down_trend,-1.0,23.0,down_trend,19.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.31286920928411255,-0.024358376976629237,98743.66523256409,101710.41233810487,-0.029168568264955508,171660.8,130752.4,0.31286920928411255,6117.0,0.020317534128275815,0,1,0,0.31286920928411255,0,1.0,0
2024-06-19,96175.83179297597,96543.7685351904,97093.41816328133,95369.32901459734,141536.0,13496932400.0,302128.0,-0.7582966669533059,0.04,down_trend,-1.0,23.0,down_trend,19.0,1,19.0,down_trend,0,1,51,price_volume_up_oi_down_short_5d,0.020756056727054828,0.009167575050010868,97890.39222187913,101189.90051316733,-0.03260709097009995,156693.2,153507.0,0.020756056727054828,2851.0,0.009526291696321468,0,1,0,0.020756056727054828,0,1.0,0
2024-06-20,96783.99786075651,96998.08930509764,97477.56352124795,96086.99394829864,111314.0,10675498250.0,296646.0,-0.9801844721755484,0.04,down_trend,-1.0,23.0,down_trend,19.0,1,19.0,down_trend,0,1,51,price_volume_up_oi_down_short_5d,0.0,0.0047058528665333554,97293.2183599067,100872.7490540035,-0.035485606644669265,141612.0,159173.8,-0.11033097155436378,2965.0,0.010095988504533832,0,0,0,0.0,0,1.0,0
2024-06-21,97305.5433015629,95060.393532734,98054.15890480723,94790.11415033384,180653.0,17251072500.0,297993.0,-0.5004919321428314,0.04,down_trend,-1.0,23.0,down_trend,19.0,1,19.0,down_trend,0,1,51,price_volume_up_oi_down_short_5d,0.0,-0.019976638573454997,96464.83800942378,100157.91796203915,-0.03687257111330011,153798.0,158395.2,-0.02902360677596294,4304.0,0.014654958135987387,0,0,0,0.0,0,1.0,0
2024-06-24,94703.11204225777,91948.8888557649,95129.36846848056,91255.73343750206,217524.0,20037996500.0,301896.0,-0.3277733979358986,0.04,down_trend,-1.0,23.0,down_trend,19.0,1,19.0,down_trend,0,1,51,price_volume_up_oi_down_short_5d,0.07181167945214728,-0.032731872458508726,95243.57535537661,99410.23618115726,-0.041913800689374336,171097.8,159634.2,0.07181167945214728,6882.0,0.02332770648172629,0,1,0,0.07181167945214728,0,1.0,0
2024-06-25,92091.01051198169,93841.7255895294,94431.17491345956,89969.85777430602,287986.0,26178884600.0,304777.0,-0.0566684938044319,0.04,down_trend,-1.0,23.0,no_trend,,1,19.0,down_trend,0,1,51,price_volume_up_oi_down_short_5d,0.101878500553562,0.020585748858082287,94878.57316366327,98743.66523256409,-0.03914268383493402,187802.6,171660.8,0.09403311647155332,-2410.0,-0.007845384082008678,0,1,1,0.101878500553562,0,1.0,0
2024-06-26,93692.77062668664,96328.86233091856,97665.1439409441,92832.2730560758,360723.0,34107342650.0,306583.0,0.1626218327139663,0.04,up_trend,1.0,24.0,down_trend,20.0,1,19.0,down_trend,0,1,51,price_volume_up_oi_down_short_5d,0.47830282360689536,0.026503527356989354,94835.5919228089,97890.39222187913,-0.03120633424520547,231640.0,156693.2,0.47830282360689536,4455.0,0.014745405920669386,0,1,0,0.47830282360689536,0,1.0,0
2024-06-27,95890.84922328536,94033.78991117267,96165.39616060372,93792.88535645472,234833.0,22191374700.0,306775.0,-0.2672399566394095,0.04,up_trend,1.0,24.0,down_trend,20.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.8101841651837414,-0.023825386952683325,94242.7320440239,97293.2183599067,-0.031353534884604795,256343.8,141612.0,0.8101841651837414,10129.0,0.03414507527490679,0,1,0,0.8101841651837414,0,1.0,0
2024-06-28,93895.37990974648,93965.4685533976,95013.77288473464,92632.92408298304,276964.0,25779261400.0,306774.0,-0.1022237862968819,0.04,up_trend,1.0,24.0,down_trend,20.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.7919998959674379,-0.0007265617799687707,94023.74704815661,96464.83800942378,-0.025305500031303607,275606.0,153798.0,0.7919998959674379,8781.0,0.029467135134046772,0,1,0,0.7919998959674379,0,1.0,0
