date,open,close,high,low,volume,total_turnover,open_interest,speculation,threshold,realtime_trend,realtime_position,realtime_segment_id,trend,segment_id,is_reversal_window,reversal_segment_id,reversal_trend,is_uptrend_reversal_window,is_downtrend_reversal_window,factor_id,factor_name,factor_value,daily_return,ret_5,close_rank_20,close_rank_60,price_ma_5,price_ma_10,price_ma_20,is_price_ma_bullish,open_interest_ma_5,open_interest_ma_10,is_open_interest_ma_bullish,oi_change_5,oi_change_5_rate,oi_change_5_rate_median_past,oi_change_5_rate_mad_past,oi_change_5_rate_mad_score,oi_change_5_rate_mad_abs_score,log_volume,log_volume_median_past,log_volume_mad_past,volume_mad_score,price_volume_oi_score,signal,position,position_scale,is_effective_signal
2025-11-03,81151.1231462815,82198.87581014527,82752.20293625066,81008.98268696341,745234.0,61183535140.0,904776.0,-0.1939891362290626,0.04,up_trend,1.0,48.0,no_trend,,1,38.0,up_trend,1,0,51,price_volume_up_oi_down,3.9637523915173016,0.018539151195679615,0.0052448847390844655,0.9,0.8833333333333333,82082.17421031502,80425.13224125683,77110.64291931904,1,887864.8,837371.5,1,42248.0,0.04898159827854864,0.13504993358549977,0.05484353816634868,-1.0585075067782175,1.0585075067782175,13.521453542004247,13.54684665516612,0.25484132662345527,-0.0672081738425769,3.9637523915173016,0,0.0,0.0,0
2025-11-04,82519.24713724997,78692.84692417741,82807.97489575723,77659.92559185383,1232964.0,98034986460.0,826917.0,0.3994719784277493,0.04,down_trend,-1.0,49.0,up_trend,39.0,0,,,0,0,51,price_volume_up_oi_down,6.803361029828349,-0.0426530028715445,-0.034070659392803626,0.6,0.7166666666666667,81527.03687852668,80705.3754258552,77353.25304585116,1,880727.0,849948.7,1,-35689.0,-0.04137346598562959,0.13504993358549977,0.05484353816634868,-2.1697351546462555,2.1697351546462555,14.024931584639946,13.578281349247918,0.14814005868292845,2.0336258751820937,6.803361029828349,0,1.0,1.0,0
2025-11-05,78640.6837239459,79192.40572818888,79927.33356274104,78172.88566899083,657037.0,51938392260.0,827766.0,-0.2309901722587907,0.04,down_trend,-1.0,49.0,up_trend,39.0,0,,,0,0,51,price_volume_up_oi_down,3.9378265220761826,0.006348211095893008,-0.04290594074004028,0.6,0.7333333333333333,80817.00746514549,80918.53720824221,77671.09393434621,0,871084.0,858424.4,1,-48215.0,-0.055041148152756736,0.13504993358549977,0.05484353816634868,-2.3378265220761825,2.3378265220761825,13.39549561247159,13.652469118073878,0.19558900669942592,-0.8861758535581388,3.9378265220761826,0,1.0,1.0,0
2025-11-06,79512.30010349808,80510.1420147731,80919.95461318741,78748.63193195593,705444.0,56274716040.0,853714.0,-0.1907688512717061,0.04,down_trend,-1.0,49.0,up_trend,39.0,0,,,0,0,51,price_volume_up_oi_down,2.521177882070056,0.016639679960059217,-0.033470724802773244,0.7,0.7666666666666667,80259.3972868798,80997.5270308402,78025.16946324917,0,859253.0,862241.6,0,-59155.0,-0.06480119272316182,0.13504993358549977,0.07401678841593158,-1.821177882070056,1.821177882070056,13.466582670795693,13.652469118073878,0.19558900669942592,-0.6410313806302705,2.521177882070056,0,1.0,1.0,0
2025-11-07,79816.97242700114,82428.04396778831,82519.56510920623,79131.24424953933,1067704.0,86833850220.0,909484.0,0.1603884218280704,0.04,up_trend,1.0,50.0,up_trend,39.0,0,,,0,0,51,price_volume_up_oi_down,2.2373982194948483,0.023821867717775058,0.021378809748990424,0.9,0.8833333333333333,80604.4628890146,81300.43112632631,78500.02307546527,0,864531.4,871973.3,0,26392.0,0.0298859009027372,0.10333418287063989,0.09687108143059558,-0.5114032666387698,0.5114032666387698,13.88102110653008,13.652469118073878,0.19158974822190444,0.8046161431070881,2.2373982194948483,0,1.0,1.0,0
2025-11-10,82676.24205545326,87263.16601087779,87297.18637175424,82478.09376893354,1306577.0,111623894660.0,986598.0,0.2809033576792054,0.04,up_trend,1.0,50.0,up_trend,39.0,0,,,0,0,51,price_volume_up_oi_down,2.4662663069421438,0.05865870170325738,0.061610212436840506,1.0,0.9833333333333333,81617.3209291611,81849.74756973804,79237.25435514815,0,880895.8,884380.3,0,81822.0,0.09043343324756625,0.06815484852813154,0.11016882540353928,0.13639702041245907,0.13639702041245907,14.082921298294927,13.69328267138285,0.207219217867193,1.2682590740928439,2.4662663069421438,0,1.0,1.0,0
2025-11-11,87647.56146791585,86597.97612100946,88245.24309499348,85857.79435856937,1125244.0,97691480080.0,992253.0,0.1257770649202156,0.04,up_trend,1.0,50.0,up_trend,39.0,0,,,0,0,51,price_volume_up_oi_down,4.612805844557852,-0.007622802612793245,0.10045549888986538,0.95,0.95,83198.3467685275,82362.69182352709,79926.28812925189,1,913963.0,897345.0,1,165336.0,0.19994267864852217,0.06815484852813154,0.08035686647459747,1.1061864097827732,1.1061864097827732,13.933510458992552,13.80169031866988,0.19491121407417822,0.4561639358852142,4.612805844557852,0,1.0,1.0,0
2025-11-12,86882.0017364286,86625.2703334333,88196.19575903086,85421.89596911056,1413311.0,122495650300.0,1003409.0,0.3425319760326358,0.04,up_trend,1.0,50.0,up_trend,39.0,0,,,0,0,51,price_volume_up_oi_down,5.314201993808789,0.0003151830290548663,0.0938583003874911,0.95,0.95,84684.91968957639,82750.96357736093,80608.70362411244,1,949091.6,910087.8,1,175643.0,0.2121891935643648,0.06815484852813154,0.08035686647459747,1.2089798798226985,1.2089798798226985,14.161445736528387,13.866472778797865,0.1874536626695713,1.061363813598599,5.314201993808789,1,0.0,0.0,0
2025-11-13,86435.64090827676,87885.28761296567,89815.72455717275,86300.67557563333,1389104.0,122735384160.0,1037262.0,0.292074385762664,0.04,up_trend,1.0,50.0,up_trend,39.0,0,,,0,0,51,price_volume_up_oi_down,5.406078432795405,0.014545608627625217,0.09160517437466797,1.0,0.9833333333333333,86159.9488092149,83209.67304804735,81253.21264709104,1,985801.2,922527.1,1,183548.0,0.21499940261024184,0.06815484852813154,0.08035686647459747,1.2325679080371246,1.2325679080371246,14.144169492943641,13.904525546935329,0.14940089453210792,1.0819053503836116,5.406078432795405,1,0.0,0.0,0
2025-11-14,87640.59150818801,87524.8517046308,88414.31705904912,86789.63741368843,939478.0,82124244420.0,1024914.0,-0.0870395837451496,0.04,up_trend,1.0,50.0,up_trend,39.0,1,39.0,up_trend,1,0,51,price_volume_up_oi_down,3.3524534749588364,-0.004101208724743288,0.06183341847629231,0.95,0.9666666666666667,87179.3103565834,83891.88662279901,81841.76217400015,1,1008887.2,936709.3,1,115430.0,0.12691812060465055,0.06815484852813154,0.11636215559732471,0.34062005648254434,0.34062005648254434,13.753079680850465,13.930770223166565,0.18277517245271913,-0.6557270729379574,3.3524534749588364,0,0.0,0.0,0
2025-11-17,88075.61295069334,95362.68556890875,95363.03628799404,87872.3234839058,1850222.0,171736636900.0,1118668.0,0.5031669400595563,0.04,up_trend,1.0,50.0,up_trend,39.0,1,39.0,up_trend,1,0,51,price_volume_up_oi_down,5.171701531398653,0.0895498102724952,0.09281716362458492,1.0,1.0,88799.2142681896,85208.26759867535,82816.69991996608,1,1035301.2,958098.5,1,132070.0,0.13386404594373796,0.06970751576305745,0.1179148228322506,0.36698513153231216,0.36698513153231216,14.430816189855083,13.907265782761316,0.20627961285796825,1.711899236241755,5.171701531398653,0,0.0,0.0,0
2025-11-18,95987.51633451723,93815.03801262262,97073.0766345479,93058.68765676089,1998474.0,189281684120.0,1022292.0,0.6703367240686223,0.04,up_trend,1.0,50.0,up_trend,39.0,1,39.0,up_trend,1,0,51,price_volume_up_oi_down,5.630548525758272,-0.016229068498367805,0.08333984481956325,0.95,0.9833333333333333,90242.62664651223,86720.48670751987,83712.93106668754,1,1041309.0,977636.0,1,30039.0,0.030273529029390688,0.1086757769261084,0.09739015918033508,-0.5429870140189788,0.5429870140189788,14.50789444729157,13.97922102181625,0.17358659291976508,2.0542216669197297,5.630548525758272,0,0.0,0.0,0
2025-11-19,93904.93402428048,99785.99208447618,100360.31266527312,93829.16801206728,2425955.0,238463478400.0,1093042.0,0.7972606264922603,0.04,up_trend,1.0,50.0,up_trend,39.0,1,39.0,up_trend,1,0,51,price_volume_up_oi_down,5.596348637684016,0.06364602305069877,0.15192704969791526,1.0,1.0,92874.7709967208,88779.8453431486,84849.19127569541,1,1059235.6,1004163.6,1,89633.0,0.08932847921435826,0.1086757769261084,0.08502838887289249,-0.15347313644648986,0.15347313644648986,14.70173581926216,14.008215878643739,0.20418302783896092,2.2909484515396104,5.596348637684016,0,0.0,0.0,0
2025-11-20,99712.76361093718,99487.06486152818,102960.57210973871,98277.25509880828,2503762.0,251179898600.0,1077295.0,0.8433411311226615,0.04,up_trend,1.0,50.0,no_trend,,1,39.0,up_trend,1,0,51,price_volume_up_oi_down,5.204073243964544,-0.002995683228713464,0.13201046004030959,0.95,0.9833333333333333,95195.1264464333,90677.5376278241,85837.53232933216,1,1067242.2,1026521.7,1,40033.0,0.03859487766832295,0.1086757769261084,0.07859606196004446,-0.6014158697774287,0.6014158697774287,14.733304958761464,14.113545395619283,0.2748975416625017,1.5206469141468062,5.204073243964544,0,1.0,1.0,0
2025-11-21,95243.787035506,91473.83576451118,96545.82633711142,91466.69468483004,2106084.0,197017225480.0,998213.0,0.7466188975454795,0.04,down_trend,-1.0,51.0,no_trend,,1,39.0,up_trend,1,0,51,price_volume_up_oi_down,5.069057513426509,-0.08054543681804538,0.045118431885003085,0.8,0.9333333333333333,95984.92325840938,91582.1168074964,86441.27396691137,1,1061902.0,1035394.6,1,-26701.0,-0.026051941919029303,0.1086757769261084,0.07424157357725159,-1.2240123293052732,1.2240123293052732,14.560340856920517,14.152807614736014,0.2748975416625017,0.9999267522362332,5.069057513426509,0,1.0,1.0,0
2025-11-24,91422.30929616808,91310.30934205856,93560.78229623068,90743.56703305389,971940.0,89390422140.0,977397.0,-0.0055988413035321,0.04,down_trend,-1.0,51.0,no_trend,,0,,,0,0,51,price_volume_up_oi_down,3.8846379426606807,-0.0017876852007562283,-0.042494359325922715,0.75,0.9166666666666666,95174.44801303933,91986.83114061448,86918.28935517625,1,1033647.8,1034474.5,0,-141271.0,-0.12628501038735354,0.1086757769261084,0.07424157357725159,-2.1346379426606807,2.1346379426606807,13.787049353142239,14.296130963191736,0.2387097793127948,-1.4384448043368387,3.8846379426606807,0,1.0,1.0,0
2025-11-25,91784.2692629965,96559.5923121724,96758.7893974076,91571.97955918236,1264789.0,119095703640.0,1033634.0,0.2018245616060854,0.04,up_trend,1.0,52.0,down_trend,40.0,0,,,0,0,51,price_volume_up_oi_down,2.7006964223952523,0.05748839323771682,0.02925495056752525,0.9,0.9666666666666667,95723.3588729493,92982.99275973077,87672.84229162893,1,1035916.2,1038612.6,0,11342.0,0.011094677450278393,0.1081232999095044,0.08483457480956574,-0.7714414718277273,0.7714414718277273,14.050415867812381,14.296130963191736,0.3134151989639822,-0.5287955461150895,2.7006964223952523,0,1.0,1.0,0
2025-11-26,96939.3153038987,95686.16019824593,99060.80615547638,94666.29471466424,1354151.0,131201263500.0,1055255.0,0.2493922458071137,0.04,up_trend,1.0,52.0,down_trend,40.0,0,,,0,0,51,price_volume_up_oi_down,2.850446094846752,-0.009045524043874598,-0.04108624668239447,0.85,0.95,94903.39249570326,93889.08174621203,88320.02266178648,1,1028358.8,1043797.2,0,-37787.0,-0.03457049225921785,0.0639616784413406,0.06642940483285366,-1.000446094846752,1.000446094846752,14.118685247654327,14.296130963191736,0.25496249455406783,-0.4694239270278154,2.850446094846752,0,1.0,1.0,0
2025-11-27,95885.84905214592,95245.89217620356,97876.90625824616,94877.20522677424,1092456.0,105500093340.0,1066017.0,0.0244990994933621,0.04,up_trend,1.0,52.0,down_trend,40.0,0,,,0,0,51,price_volume_up_oi_down,1.217780878660188,-0.004601167202552658,-0.04263039311922334,0.75,0.9166666666666666,94055.15795863833,94625.14220253582,88917.40762529158,0,1026103.2,1046672.7,0,-11278.0,-0.010468813092049995,0.03443420334885682,0.0647454204379804,-0.46778087866018797,0.46778087866018797,13.903938930541296,14.287492841399363,0.25496249455406783,-1.014673036858488,1.217780878660188,0,1.0,1.0,0
