date,open,close,high,low,volume,total_turnover,open_interest,speculation,factor_id,factor_name,factor_value,daily_return,ret_5,close_rank_20,close_rank_60,oi_ret_5,open_interest_mad_score,volume_mad_score,range_pct,range_mad_score,close_location,crowded_chase_score,signal,position,position_scale
2025-03-26,3214.7347414881287,3220.467209550944,3226.511104756458,3207.672583288293,140706.0,4452034200.0,586497.0,-1.4274949458565758,14,uptrend_crowded_chase,1.6661035304263805,-0.0004609886333436508,0.0030444259791995165,0.05,0.016666666666666666,0.07138375566501765,1.6161035304263804,-2.0254939378965267,0.0058496237478510476,-2.0543696505169757,0.679173590362315,1.6661035304263805,0,1.0,1.0
2025-03-27,3223.3253193343685,3257.857025601953,3263.7170717992417,3202.240751848971,349787.0,10972807750.0,577495.0,-0.5013753865496781,14,uptrend_crowded_chase,4.228258963523947,0.011610059540467343,0.007689159362867404,0.5,0.16666666666666666,0.0689953452281884,1.1918032261577634,1.9943284893789903,0.018870171240529473,3.078582985353378,0.9046779930544148,4.228258963523947,0,1.0,1.0
2025-03-28,3255.0222976524783,3231.721832263383,3260.363167286863,3227.827274926536,256609.0,8087388530.0,587099.0,-0.8276399341696825,14,uptrend_crowded_chase,1.8744338527439146,-0.008022203900657998,-0.0017702904488395843,0.2,0.06666666666666667,0.08736649863181434,1.3454395096261276,0.5426630178403251,0.010067664870011319,0.11532566839524941,0.11970033874330775,1.8744338527439146,0,1.0,1.0
2025-03-31,3214.2383468050866,3196.9680038771025,3219.9785788365016,3191.608244176135,288399.0,8928787360.0,598385.0,-0.7298894215027666,14,uptrend_crowded_chase,1.7143986225782404,-0.010753966520051672,-0.010327816433211456,0.0,0.0,0.0678702403322955,1.2231560213255352,0.9824852025054104,0.008874137816193534,-0.47522396799250866,0.18892127164277397,1.7143986225782404,0,1.0,1.0
2025-04-01,3195.792389809528,3202.987391845096,3211.5246127498503,3192.861518961654,179610.0,5540700860.0,596598.0,-1.2004556861397897,14,uptrend_crowded_chase,0.9574894529625328,0.001882842731204537,-0.0058862137860036245,0.05,0.016666666666666666,0.03046967928547062,0.9074894529625328,-1.0163792808159375,0.005826777163005146,-1.9380696730382092,0.5425613244169873,0.9574894529625328,0,1.0,1.0
2025-04-02,3211.238527662116,3216.510932601882,3219.308217175163,3202.7294142781084,148626.0,4589916210.0,586960.0,-1.3735235910742825,14,uptrend_crowded_chase,0.46645348720176916,0.004222164842489606,-0.0012284791900160075,0.15,0.05,0.0007891214148045833,0.3164534872017692,-1.6389788260330809,0.005154281531896986,-1.1808494551476774,0.8312734284465095,0.46645348720176916,0,1.0,1.0
2025-04-03,3214.753753216739,3191.2841019020743,3221.436616479494,3184.889963649703,206001.0,6384483980.0,599556.0,-1.068308358134266,14,uptrend_crowded_chase,1.3779001247475888,-0.007842917754177003,-0.02043457499107959,0.0,0.0,0.03748959693118792,1.1904280268390495,-0.45996881487314634,0.011452021087062895,0.37494419581707883,0.1749582453460429,1.3779001247475888,0,1.0,1.0
2025-04-07,3233.496007615072,3232.572196441029,3281.230490695376,3219.55863002142,413449.0,12950955610.0,543247.0,-0.273029927308815,14,uptrend_crowded_chase,2.6826922077851725,0.01293776837804761,0.000263130375008247,0.45,0.15,-0.0776293629794278,-3.191671162611854,2.1036483440693146,0.01907826242577194,2.36173607150103,0.21101303377903008,2.6826922077851725,0,1.0,1.0
2025-04-08,3253.8497627765214,3345.43832486595,3362.3984914603348,3242.6250205715664,564315.0,17868368500.0,497202.0,0.1266162240727266,14,uptrend_crowded_chase,4.838442332011169,0.03491526919311605,0.046440978079477446,1.0,0.7166666666666667,-0.18523797734655645,-6.86292182817776,2.6934895402940833,0.03580202629907026,4.983395123728257,0.8583979701971293,4.838442332011169,0,1.0,1.0
2025-04-09,3350.498862183921,3359.5269994978544,3375.467502047535,3329.272165165171,445238.0,14408281380.0,489898.0,-0.095588235514843,14,uptrend_crowded_chase,2.066083747290661,0.0042113090315210044,0.04887300151455887,1.0,0.85,-0.19704631357477354,-7.47636753916034,1.3375570556758054,0.013750547886434317,0.7946104389055159,0.6549326484992837,2.066083747290661,0,1.0,1.0
2025-04-10,3346.468735086464,3341.9447595850384,3352.0899983819127,3311.298348721989,346947.0,11073245930.0,494312.0,-0.3539948662441456,14,uptrend_crowded_chase,1.1958566135758195,-0.005233546244886256,0.03899686014177206,0.9,0.6666666666666666,-0.17178977763249392,-6.359993241298947,0.3935286385600246,0.012205961676335034,0.19818458859161445,0.7512912843325962,1.1958566135758195,0,1.0,1.0
2025-04-11,3336.052264941919,3368.444682053929,3373.152518000101,3332.666082963812,340236.0,11007403110.0,488196.0,-0.3610774700928892,14,uptrend_crowded_chase,1.0949682968862287,0.00792949147136146,0.0555138854752113,1.0,0.8666666666666667,-0.20547241671907912,-4.184995881941491,0.16127118622203676,0.01201932608600887,0.028665407550420574,0.8837181900072865,1.0949682968862287,0,1.0,1.0
