date,open,close,high,low,volume,total_turnover,open_interest,speculation,factor_id,factor_name,factor_value,daily_return,price_ma_5,price_ma_10,price_ma_20,is_ma_bullish,open_interest_ma_5,open_interest_ma_10,is_open_interest_ma_bullish,speculation_median_past,speculation_mad_past,speculation_mad_score,signal,position,position_scale
2018-11-23,4038.04673901625,4040.607903845674,4071.226158124752,4015.710386614192,104026.0,4348694330.0,120473.0,-0.1467847935374641,12,price_up_speculation_up,0.06979051124082104,-0.002965087095505914,4094.524788625874,4122.195175283297,4156.244946735531,0,123136.4,119368.6,1,-0.16049265209525526,0.13247967044533235,0.06979051124082104,0,1.0,1.0
2018-11-26,4040.6309657588577,3974.8531139443294,4046.948732310835,3947.0492572819785,164151.0,6697684160.0,119848.0,0.3145624627029992,12,price_up_speculation_up,2.4572148069143096,-0.01627348940211748,4063.916997718744,4107.3106150984195,4143.7425466520235,0,123811.6,120350.5,1,-0.1680698095132549,0.13247967044533235,2.4572148069143096,0,1.0,1.0
2018-11-27,3983.9914632007153,3966.104557777457,3989.9872532723,3956.9227976304223,68572.0,2800382040.0,117667.0,-0.5399743129771298,12,price_up_speculation_up,-1.6388745509304241,-0.0022009759646667293,4018.9205936865974,4091.416471249248,4129.9546580018505,0,120747.0,120538.0,1,-0.1680698095132549,0.1530600074609731,-1.6388745509304241,0,1.0,1.0
2018-11-28,3947.7093010419417,3943.563982011448,3952.6724727152464,3885.990070418969,131140.0,5235012640.0,107624.0,0.1976217836522316,12,price_up_speculation_up,1.6114960694105533,-0.005683303462539202,3995.550769080669,4066.9751695887962,4116.986191929971,0,117765.2,119162.0,0,-0.1680698095132549,0.1530600074609731,1.6114960694105533,0,1.0,1.0
2018-11-29,3944.032860392275,3903.826887258628,3951.720217924475,3898.687554474977,73670.0,2937281810.0,105232.0,-0.3565717758642729,12,price_up_speculation_up,-0.8306731232767518,-0.010076442257328733,3965.791288967507,4041.457019087473,4102.2955947124465,0,114168.8,118091.2,0,-0.1680698095132549,0.1530600074609731,-0.8306731232767518,0,1.0,1.0
2018-11-30,3891.4528691045,3942.052343561732,3952.404319624067,3885.8788022139183,75417.0,3020298490.0,99592.0,-0.2780491262878239,12,price_up_speculation_up,-0.40577488084956204,0.00979179082655146,3946.080176910719,4020.3024827682966,4089.0795229030737,0,109992.6,116564.5,0,-0.1680698095132549,0.18281080569209535,-0.40577488084956204,0,1.0,1.0
2018-12-03,3929.215865751335,3903.253140895998,3966.30347570108,3901.838338338338,82892.0,3305499200.0,97902.0,-0.1664284226617472,12,price_up_speculation_up,0.06665911307333307,-0.009842386473914222,3931.7601823010527,3997.8385900098983,4077.7633513850137,0,105603.4,114707.5,0,-0.1844953954059814,0.18281080569209535,0.06665911307333307,0,1.0,1.0
2018-12-04,3897.11738997555,3867.150690018568,3899.269325590872,3854.1760482088007,68486.0,2688401120.0,99635.0,-0.3748841636667605,12,price_up_speculation_up,-0.8053473298433572,-0.009249323467947712,3911.9694087492744,3965.445001217936,4063.944744947303,0,101997.0,111372.0,0,-0.15660660809960564,0.18281080569209535,-0.8053473298433572,0,1.0,1.0
2018-12-05,3865.512590054208,3864.878596241204,3893.6995014916,3839.793072737238,78866.0,3121158230.0,101043.0,-0.2477959590577888,12,price_up_speculation_up,-0.120135072222444,-0.000587536912701303,3896.232331595226,3945.8915503379476,4049.002901908436,0,100680.8,109223.0,0,-0.22223877447478557,0.14348919529073112,-0.120135072222444,0,1.0,1.0
2018-12-06,3865.195728301737,3830.17453352232,3884.05272660536,3825.7203544484782,70374.0,2756238890.0,103006.0,-0.3809633621927905,12,price_up_speculation_up,-0.7638786211682584,-0.00897934096885622,3881.5018608479645,3923.646574907735,4031.275469192711,0,100235.6,107202.2,0,-0.26292254267280635,0.10422787050250663,-0.7638786211682584,0,1.0,1.0
2018-12-07,3827.594118558398,3829.348415358986,3850.137495626093,3814.090332513508,60138.0,2383351420.0,97246.0,-0.4806019292764659,12,price_up_speculation_up,-1.2873576521373824,-0.0002156868195178907,3858.961075207415,3902.5206260590667,4012.357900671182,0,99766.4,104879.5,0,-0.26292254267280635,0.11404968506464819,-1.2873576521373824,0,1.0,1.0
2018-12-10,3795.7086882980257,3751.948009163524,3798.798974813836,3746.8442026453713,64582.0,2474259780.0,98652.0,-0.4236627717670546,12,price_up_speculation_up,-0.6509509080610547,-0.02021242201023543,3828.7000488609206,3880.2301155809864,3993.7703653397025,0,99916.4,102759.9,0,-0.3173104510760484,0.11019826021628037,-0.6509509080610547,0,1.0,1.0
2018-12-11,3735.080818014985,3750.5538171223575,3758.925324047205,3724.800967314937,68701.0,2589847730.0,96447.0,-0.3392298795058031,12,price_up_speculation_up,0.17647464522953824,-0.00037159151399790424,3805.3806742816787,3858.675041515476,3975.045756382362,0,99278.8,100637.9,0,-0.3657279697655167,0.10127640149432099,0.17647464522953824,0,1.0,1.0
2018-12-12,3751.684069542016,3753.763828830757,3773.910247858081,3746.77499712045,58892.0,2174510460.0,93428.0,-0.4614858281720682,12,price_up_speculation_up,-1.0522644768736882,0.0008558767224575714,3783.1577207995892,3839.6950261974075,3953.335097893102,0,97755.8,99218.3,0,-0.347900827685038,0.07280682273961533,-1.0522644768736882,0,1.0,1.0
2018-12-13,3750.611693561289,3729.554246183727,3758.2723840402728,3722.4894197733047,48232.0,1778244690.0,91647.0,-0.6419215393386434,12,price_up_speculation_up,-2.5586889180488974,-0.006449415506934231,3763.0336633318702,3822.267762089918,3931.862390588695,0,95484.0,97859.8,0,-0.3657279697655167,0.07280682273961533,-2.5586889180488974,0,1.0,1.0
2018-12-14,3737.5791077044014,3674.234336241553,3744.7380219252273,3672.753239671542,61238.0,2203924300.0,93528.0,-0.4234929448415388,12,price_up_speculation_up,-0.33511278605043787,-0.014832847651641057,3732.0108475083834,3795.485961357899,3907.8942220630975,0,94740.4,97253.4,0,-0.3779237629297755,0.09171835094212213,-0.33511278605043787,0,1.0,1.0
2018-12-17,3667.642619904525,3678.862100068977,3689.2340740895374,3662.018262011812,43874.0,1562469740.0,94235.0,-0.7644697729650953,12,price_up_speculation_up,-3.997001825731034,0.0012595178760856918,3717.3936656894743,3773.0468572751975,3885.442723642548,0,93857.0,96886.7,0,-0.4022281535171647,0.06112797433313255,-3.997001825731034,0,1.0,1.0
2018-12-18,3681.2704996678726,3666.9635541175503,3690.5916557360506,3664.849988858052,61949.0,2194775030.0,97048.0,-0.4488942355737914,12,price_up_speculation_up,-0.32304244103153723,-0.0032343006146393627,3700.675613088513,3753.0281436850955,3859.2365724515157,0,93977.2,96628.0,0,-0.42357785830429673,0.05285888280485271,-0.32304244103153723,0,1.0,1.0
2018-12-19,3664.731967897139,3658.677912224203,3675.372491479525,3649.84800593429,41955.0,1500559940.0,95949.0,-0.8272191849825247,12,price_up_speculation_up,-5.292847634460387,-0.002259537563181868,3681.6584297672025,3732.4080752833956,3839.1498128106714,0,94481.4,96118.6,0,-0.436278503670423,0.049819283541837706,-5.292847634460387,0,1.0,1.0
