date,open,close,high,low,volume,total_turnover,open_interest,speculation,factor_id,factor_name,factor_value,daily_return,is_down_day,price_down_ratio,speculation_median_past,speculation_mad_past,speculation_mad_score,signal,position,position_scale
2025-11-07,79816.97242700114,82428.04396778831,82519.56510920623,79131.24424953933,1067704.0,86833850220.0,909484.0,0.1603884218280704,32,price_down_speculation_up,0.5177784971477605,0.023821867717775058,0,0.3,0.007188646469936152,0.1995676402203205,0.5177784971477605,0,1.0,1.0
2025-11-10,82676.24205545326,87263.16601087779,87297.18637175424,82478.09376893354,1306577.0,111623894660.0,986598.0,0.2809033576792054,32,price_down_speculation_up,0.8437814397138729,0.05865870170325738,0,0.3,0.01787617184656985,0.21025516559695417,0.8437814397138729,0,1.0,1.0
2025-11-11,87647.56146791585,86597.97612100946,88245.24309499348,85857.79435856937,1125244.0,97691480080.0,992253.0,0.1257770649202156,32,price_down_speculation_up,0.08251227803904027,-0.007622802612793245,1,0.3,0.1056598260966805,0.16444694068660337,0.08251227803904027,0,1.0,1.0
2025-11-12,86882.0017364286,86625.2703334333,88196.19575903086,85421.89596911056,1413311.0,122495650300.0,1003409.0,0.3425319760326358,32,price_down_speculation_up,0.8853447610009785,0.0003151830290548663,0,0.3,0.12667692486321774,0.16444694068660337,0.8853447610009785,0,1.0,1.0
2025-11-13,86435.64090827676,87885.28761296567,89815.72455717275,86300.67557563333,1389104.0,122735384160.0,1037262.0,0.292074385762664,32,price_down_speculation_up,0.595501839067943,0.014545608627625217,0,0.3,0.14398260331714513,0.16773506353877546,0.595501839067943,0,1.0,1.0
2025-11-14,87640.59150818801,87524.8517046308,88414.31705904912,86789.63741368843,939478.0,82124244420.0,1024914.0,-0.0870395837451496,32,price_down_speculation_up,-1.62337713957495,-0.004101208724743288,1,0.3,0.19861687237475278,0.1186863085228971,-1.62337713957495,0,1.0,1.0
2025-11-17,88075.61295069334,95362.68556890875,95363.03628799404,87872.3234839058,1850222.0,171736636900.0,1118668.0,0.5031669400595563,32,price_down_speculation_up,1.1307706842731315,0.0895498102724952,0,0.3,0.143082743374143,0.2147857798888927,1.1307706842731315,0,1.0,1.0
2025-11-18,95987.51633451723,93815.03801262262,97073.0766345479,93058.68765676089,1998474.0,189281684120.0,1022292.0,0.6703367240686223,32,price_down_speculation_up,2.0172931968099603,-0.016229068498367805,1,0.3,0.22064588975363789,0.15035608747655466,2.0172931968099603,0,1.0,1.0
2025-11-19,93904.93402428048,99785.99208447618,100360.31266527312,93829.16801206728,2425955.0,238463478400.0,1093042.0,0.7972606264922603,32,price_down_speculation_up,1.9234146805184704,0.06364602305069877,0,0.3,0.22064588975363789,0.20220356829245817,1.9234146805184704,0,1.0,1.0
2025-11-20,99712.76361093718,99487.06486152818,102960.57210973871,98277.25509880828,2503762.0,251179898600.0,1077295.0,0.8433411311226615,32,price_down_speculation_up,1.99047048212467,-0.002995683228713464,1,0.4,0.2864888717209347,0.18869493756967037,1.99047048212467,0,1.0,1.0
