date,close,trend,segment_id,is_reversal_window,reversal_segment_id,factor_id,factor_name,factor_value,daily_return,price_ma_5,price_ma_10,price_ma_20,is_ma_bullish,open_interest,open_interest_ma_5,open_interest_ma_10,is_open_interest_ma_bullish,speculation,speculation_median_past,speculation_mad_past,speculation_mad_score,signal,position_scale,is_effective_signal
2025-01-15,79763.03859380224,up_trend,30.0,1,30.0,31,price_up_speculation_up,3.366786685372854,0.014431868898441724,78343.26572411155,77651.2983884335,77077.0688661417,1,409729.0,372623.0,365429.4,1,-0.0753747140775239,-0.4461458901353512,0.07427905462959505,3.366786685372854,1,0.0,1
2025-01-16,79447.37810758078,up_trend,30.0,1,30.0,31,price_up_speculation_up,-1.059479145990396,-0.003957478197752495,78692.47039086952,77894.91564031702,77245.71648086382,1,401317.0,381134.2,369188.0,1,-0.6679780192402538,-0.406590962021664,0.16640549784035336,-1.059479145990396,0,1.0,0
2025-01-17,80329.66888668691,up_trend,30.0,1,30.0,31,price_up_speculation_up,0.05943126481514363,0.0111053479689589,79277.070745148,78349.10607821812,77479.86999263396,1,412759.0,392357.4,375087.8,1,-0.3864185130490085,-0.406590962021664,0.22893893425203082,0.05943126481514363,0,1.0,0
2025-01-20,80380.96737600217,down_trend,31.0,1,30.0,31,price_up_speculation_up,0.0711795610441634,0.0006385995364630581,79709.86769000634,78679.08484119657,77657.18053629526,1,416963.0,403985.0,382376.7,1,-0.3827247982638317,-0.4068849110853501,0.22893893425203082,0.0711795610441634,0,1.0,0
2025-01-21,78269.97830043916,down_trend,31.0,1,30.0,31,price_up_speculation_up,1.5246100841418375,-0.026262299950787105,79638.20625290225,78682.22296173555,77753.57973747414,1,405999.0,409353.4,386019.0,1,-0.1036873089499689,-0.4068849110853501,0.13413526714921165,1.5246100841418375,1,0.0,1
2025-01-22,78915.04334667012,down_trend,31.0,1,30.0,31,price_up_speculation_up,-2.712460015614855,0.00824153858526544,79468.60720347583,78905.9364637937,77836.39616086976,1,397147.0,406837.0,389730.0,1,-0.9463089783775692,-0.4068849110853501,0.13413526714921165,-2.712460015614855,0,1.0,0
2025-01-23,79341.34431291292,down_trend,31.0,0,,31,price_up_speculation_up,-1.789729835128229,0.005402024102934,79447.40044454226,79069.93541770588,77968.24233547268,1,393822.0,405338.0,393236.1,1,-0.9672657391407876,-0.4461458901353512,0.19639306214483204,-1.789729835128229,0,1.0,0
2025-01-24,79363.83698994215,down_trend,31.0,0,,31,price_up_speculation_up,-1.7717856910875258,0.0002834925123089693,79254.2340651933,79265.65240517065,78101.4788077627,0,383780.0,399542.2,395949.8,1,-1.144934293786955,-0.4461458901353512,0.266017681180116,-1.7717856910875258,0,1.0,0
2025-01-27,79427.6032237804,down_trend,31.0,0,,31,price_up_speculation_up,-1.064041680689096,0.0008034671237775459,79063.56123474895,79386.71446237764,78282.48244721975,0,378934.0,391936.4,397960.7,0,-0.8912437860960658,-0.4461458901353512,0.28214535514514244,-1.064041680689096,0,1.0,0
2025-02-05,78024.63140996407,down_trend,31.0,0,,31,price_up_speculation_up,-0.36855522289038445,-0.01766352951458927,79014.49185665393,79326.34905477808,78313.59779703124,0,383719.0,387480.4,398416.9,0,-0.7589723658661379,-0.5664592451946322,0.3523171370421853,-0.36855522289038445,0,1.0,0
2025-02-06,77450.23287346536,down_trend,31.0,0,,31,price_up_speculation_up,-0.13566881935958655,-0.007361759051198291,78721.52976201297,79095.0684827444,78373.18343558894,0,392359.0,386522.8,396679.9,0,-0.7718917507381416,-0.7134751925531959,0.2904236130458896,-0.13566881935958655,0,1.0,0
