date,open,close,high,low,volume,total_turnover,open_interest,speculation
2022-07-30,60715.19530876017,60976.85387048459,61004.81593844357,60707.99296895379,13253.0,4040262500.0,417958.0,-3.4511570071090154
2022-08-01,60924.68809033042,60185.231354230455,61037.19328296431,59962.4564964027,257468.0,78105136450.0,421302.0,-0.49245447564797123
2022-08-02,60187.03377197979,59830.04459570759,60461.172451653285,58961.06869631248,320644.0,95936353200.0,412820.0,-0.2526801891775788
2022-08-03,59829.10763036837,59104.56772615905,60217.62874214538,58975.02523017314,230556.0,68929969100.0,419572.0,-0.598741361038761
2022-08-04,59108.37726918484,59253.112819587535,59895.22289599283,58321.626845473016,286146.0,84776591800.0,426761.0,-0.39972196748303246
2022-08-05,59253.01891967284,60451.41181615591,60847.39978553779,59067.6814909712,270019.0,81206154950.0,429886.0,-0.4650277303661382
2022-08-06,60452.05679896341,60496.35062461682,60579.72378122336,60391.60168980927,6955.0,2108910750.0,428983.0,-4.121956465727812
2022-08-08,60461.51354541616,61130.89318867823,61386.35906176447,60178.27361776433,212902.0,64814998950.0,430357.0,-0.7037831308562964
2022-08-09,61131.8024150256,61154.26511587689,61593.39602196164,60552.224153093885,204754.0,62673670650.0,427911.0,-0.7371059714713382
2022-08-10,61152.43911786631,61609.23495353822,61936.45416990451,60493.86929406832,236937.0,72747873000.0,419700.0,-0.5717458873263631
2022-08-11,61604.50600842418,62475.71464069652,62578.32642701503,61410.44189342066,230136.0,71629556750.0,418532.0,-0.5980829120471859
2022-08-12,62475.728074618455,61830.67267680413,62685.35351823159,61704.34795118731,209183.0,65291260050.0,412858.0,-0.679894241235027
2022-08-13,61829.47611908124,61884.41505360694,61915.43676320768,61823.36822804769,4599.0,1427739750.0,412260.0,-4.495815329713253
2022-08-15,61874.48662820168,61670.51228721668,61938.46182009509,60531.94568318156,221545.0,68051745750.0,416856.0,-0.6321151092980037
2022-08-16,61678.07893979372,61578.97352988481,62107.05779439288,61294.61567943583,185971.0,57596027400.0,416583.0,-0.8064949738863592
2022-08-17,61578.97350770811,61056.43085879944,61937.15068209755,60808.86516339508,205357.0,63265591800.0,418759.0,-0.712545647481852
2022-08-18,61056.42236932601,61787.45103120461,62010.25886465984,60733.68581792212,214597.0,66101083300.0,428334.0,-0.691141414478087
2022-08-19,61786.81642020329,62354.153525170186,62534.23540986645,61426.60205049476,218637.0,67987490400.0,430887.0,-0.6784330544136637
