date,close,trend,segment_id,is_reversal_window,reversal_segment_id,factor_id,factor_name,factor_value,daily_return,is_up_day,price_up_ratio,speculation,speculation_median_past,speculation_mad_past,speculation_mad_score,signal,position_scale,is_effective_signal,open,base_position,reduce_signal,strategy_position,base_return,strategy_return,base_nav,strategy_nav,base_running_max,strategy_running_max,base_drawdown,strategy_drawdown
2024-06-05,101569.71591077892,down_trend,19.0,0,,31,price_up_speculation_up,0.6499572501364739,-0.016685397130312984,0,0.3,-0.6484765673101991,-0.78309683556247,0.1397016910803182,0.6499572501364739,0,1.0,0,103293.20404106656,1.0,0.0,1.0,-0.016685397130312984,-0.016685397130312984,-0.06299119043885071,-0.11553348881711667,0.94895866661765,0.94895866661765,-1.0663792772591125,-1.1217476512743276
2024-06-06,102776.45074497032,down_trend,19.0,0,,31,price_up_speculation_up,-0.9619706286081608,0.009051823186306828,1,0.4,-0.8751673555463821,-0.6981825865046294,0.1240938005132561,-0.9619706286081608,0,1.0,0,101854.4819833244,1.0,0.0,1.0,0.009051823186306828,0.009051823186306828,-0.05393936725254389,-0.10648166563080985,0.94895866661765,0.94895866661765,-1.05684058658192,-1.1122089605971353
2024-06-07,101793.61103041032,down_trend,19.0,0,,31,price_up_speculation_up,-0.3956463713490082,-0.016723422540886164,0,0.3,-0.8634674516230092,-0.78309683556247,0.1370143688697928,-0.3956463713490082,0,1.0,0,103524.9017051289,1.0,0.0,1.0,-0.016723422540886164,-0.016723422540886164,-0.07066278979342999,-0.12320508817169595,0.94895866661765,0.94895866661765,-1.074463506451015,-1.1298318804662302
2024-06-11,98999.5912910619,down_trend,19.0,0,,31,price_up_speculation_up,0.7929096013437734,-0.023363350908242753,0,0.3,-0.7352473800619684,-0.8394712057110215,0.0886582873986071,0.7929096013437734,0,1.0,0,101367.88475338146,1.0,0.0,1.0,-0.023363350908242753,-0.023363350908242753,-0.0940261407016727,-0.14656843907993866,0.94895866661765,0.94895866661765,-1.099083494370527,-1.154451868385742
2024-06-12,100810.13358861522,down_trend,19.0,0,,31,price_up_speculation_up,2.7298238903896963,0.016073366205603144,1,0.4,-0.3243611740522253,-0.78309683556247,0.1133453941180915,2.7298238903896963,0,1.0,0,99215.40800255188,1.0,0.0,1.0,0.016073366205603144,0.016073366205603144,-0.07795277449606952,-0.13049507287433548,0.94895866661765,0.94895866661765,-1.0821455952069174,-1.1375139692221325
2024-06-13,99983.95861495976,down_trend,19.0,0,,31,price_up_speculation_up,1.6010937394254168,-0.005979136319180872,0,0.3,-0.4528839757112751,-0.778126160467169,0.1370143688697928,1.6010937394254168,0,1.0,0,100585.37226746247,1.0,0.0,1.0,-0.005979136319180872,-0.005979136319180872,-0.08393191081525031,-0.13647420919351627,0.94895866661765,0.94895866661765,-1.0884463294006332,-1.1438147034158483
2024-06-14,99202.29528514858,down_trend,19.0,0,,31,price_up_speculation_up,-0.7810043565385404,-0.00539570436400446,0,0.2,-0.897340643179363,-0.6918619736860838,0.1774554298986118,-0.7810043565385404,0,1.0,0,99740.46534930164,1.0,0.0,1.0,-0.00539570436400446,-0.00539570436400446,-0.0893276151792548,-0.14186991355752077,0.94895866661765,0.94895866661765,-1.09413225077299,-1.1495006247882051
2024-06-17,98055.2021260008,down_trend,19.0,0,,31,price_up_speculation_up,-0.1816347234419985,-0.006864830707700773,0,0.2,-0.811634668152631,-0.778126160467169,0.1244320379345819,-0.1816347234419985,0,1.0,0,98732.98736955838,1.0,0.0,1.0,-0.006864830707700773,-0.006864830707700773,-0.09619244588695564,-0.1487347442652216,0.94895866661765,0.94895866661765,-1.1013663179133102,-1.1567346919285253
2024-06-18,95666.7365480961,down_trend,19.0,0,,31,price_up_speculation_up,1.9859098174037737,-0.03038463669253561,0,0.2,-0.4070745435243151,-0.7734410241072998,0.1244320379345819,1.9859098174037737,0,1.0,0,98664.62534356548,1.0,0.0,1.0,-0.03038463669253561,-0.03038463669253561,-0.12657708257949118,-0.17911938095775715,0.94895866661765,0.94895866661765,-1.1333852432484197,-1.1887536172636348
2024-06-19,96543.7685351904,down_trend,19.0,1,19.0,31,price_up_speculation_up,0.0820908274756135,0.00382566737770912,1,0.3,-0.7582966669533059,-0.7734410241072998,0.1244320379345819,0.0820908274756135,0,1.0,0,96175.83179297597,1.0,0.0,1.0,0.00382566737770912,0.00382566737770912,-0.12275141520178212,-0.17529371358004808,0.94895866661765,0.94895866661765,-1.1293538059347747,-1.1847221799499899
2024-06-20,96998.08930509764,down_trend,19.0,1,19.0,31,price_up_speculation_up,-1.28470399841632,0.0022120541522695236,1,0.4,-0.9801844721755484,-0.7467720235076372,0.1225453800770585,-1.28470399841632,0,1.0,0,96783.99786075651,1.0,0.0,1.0,0.0022120541522695236,0.0022120541522695236,-0.12053936104951268,-0.17308165942777864,0.94895866661765,0.94895866661765,-1.12702277274009,-1.1823911467553052
2024-06-21,95060.393532734,down_trend,19.0,1,19.0,31,price_up_speculation_up,1.8943436269318392,-0.023073194934751816,0,0.3,-0.5004919321428314,-0.7849656675529684,0.1012883318099042,1.8943436269318392,0,1.0,0,97305.5433015629,1.0,0.0,1.0,-0.023073194934751816,-0.023073194934751816,-0.14361255598426448,-0.19615485436253044,0.94895866661765,0.94895866661765,-1.1513369981604564,-1.2067053721756715
2024-06-24,91948.8888557649,down_trend,19.0,1,19.0,31,price_up_speculation_up,1.4720033068430611,-0.029082710452681758,0,0.3,-0.3277733979358986,-0.7467720235076372,0.1919905341698185,1.4720033068430611,0,1.0,0,94703.11204225777,1.0,0.0,1.0,-0.029082710452681758,-0.029082710452681758,-0.17269526643694633,-0.2252375648152123,0.94895866661765,0.94895866661765,-1.1819839709694415,-1.2373523449846566
2024-06-25,93841.7255895294,no_trend,,1,19.0,31,price_up_speculation_up,1.8712916826590709,0.019010705472929147,1,0.4,-0.0566684938044319,-0.6178696561024,0.2022800623141579,1.8712916826590709,0,1.0,0,92091.01051198169,1.0,0.0,1.0,0.019010705472929147,0.019010705472929147,-0.15368456096401717,-0.20622685934228313,0.94895866661765,0.94895866661765,-1.161950742819802,-1.217319116835017
2024-06-26,96328.86233091856,down_trend,20.0,1,19.0,31,price_up_speculation_up,1.9874315449429192,0.02813548672538752,1,0.4,0.1626218327139663,-0.4766879539270532,0.2169677464505403,1.9874315449429192,0,1.0,0,93692.77062668664,1.0,0.0,1.0,0.02813548672538752,0.02813548672538752,-0.1255490742386296,-0.17809137261689556,0.94895866661765,0.94895866661765,-1.1323019417548723,-1.1876703157700874
2024-06-27,94033.78991117267,down_trend,20.0,0,,31,price_up_speculation_up,0.4582580333150936,-0.019366387169942118,0,0.4,-0.2672399566394095,-0.4766879539270532,0.3082777136259152,0.4582580333150936,0,1.0,0,95890.84922328536,1.0,0.0,1.0,-0.019366387169942118,-0.019366387169942118,-0.1449154614085717,-0.19745775978683766,0.94895866661765,0.94895866661765,-1.1527099825381124,-1.2080783565533275
2024-06-28,93965.4685533976,down_trend,20.0,0,,31,price_up_speculation_up,0.7159908865593677,0.0007464546574974308,0,0.4,-0.1022237862968819,-0.4537832378335732,0.3311824297193952,0.7159908865593677,0,1.0,0,93895.37990974648,1.0,0.0,1.0,0.0007464546574974308,0.0007464546574974308,-0.14416900675107436,-0.19671130512934032,0.94895866661765,0.94895866661765,-1.1519233785649825,-1.2072917525801978
2024-07-01,95330.22169759596,down_trend,20.0,0,,31,price_up_speculation_up,0.2292217743719192,0.023453353375780323,1,0.5,-0.2695563744720075,-0.3674239707301068,0.2879778306794499,0.2292217743719192,0,1.0,0,93145.64399359944,1.0,0.0,1.0,0.023453353375780323,0.023453353375780323,-0.120715653375294,-0.17325795175355996,0.94895866661765,0.94895866661765,-1.1272085472442734,-1.1825769212594885
2024-07-02,93892.09412168562,down_trend,20.0,0,,31,price_up_speculation_up,-1.068821044145969,-0.012089462812290206,0,0.5,-0.6142195246580915,-0.298664886203953,0.1991340729229747,-1.068821044145969,0,1.0,0,95041.08984298188,1.0,0.0,1.0,-0.012089462812290206,-0.012089462812290206,-0.13280511618758428,-0.18534741456585024,0.94895866661765,0.94895866661765,-1.1399482620891574,-1.1953166361043728
2024-07-03,94441.91970724764,down_trend,20.0,0,,31,price_up_speculation_up,-1.1517318241778536,0.007297579413026298,1,0.5,-0.6775919293621054,-0.298664886203953,0.2219117191691997,-1.1517318241778536,0,1.0,0,93757.71533401376,1.0,0.0,1.0,0.007297579413026298,0.007297579413026298,-0.12550753677455795,-0.1780498351528239,0.94895866661765,0.94895866661765,-1.1322581701286332,-1.1876265441438483
