date,close,trend,segment_id,is_reversal_window,reversal_segment_id,factor_id,factor_name,factor_value,speculation,speculation_change,speculation_change_rate,speculation_change_rate_rank,speculation_fast_rise_signal,speculation_fast_drop_signal,signal_type,signal,position_scale,is_effective_signal,open,daily_return,base_position,reduce_signal,strategy_position,base_return,strategy_return,base_nav,strategy_nav,base_running_max,strategy_running_max,base_drawdown,strategy_drawdown
2025-02-10,78516.0869336697,down_trend,31.0,0,,21,speculation_change_rate,0.3047332466072274,-0.5035203008329053,0.2659986111502509,0.3047332466072274,0.75,0,0,none,0,1.0,0,77575.93787140951,0.012119080839455633,1.0,0.0,1.0,0.012119080839455633,0.012119080839455633,-0.4985474013596911,-0.32062409550541693,0.94895866661765,0.94895866661765,-1.5253626094555321,-1.3378694002007585
2025-02-11,77248.3300129702,down_trend,31.0,0,,21,speculation_change_rate,-0.1515816672447767,-0.6679017487356025,-0.1643814479026971,-0.1515816672447767,0.3,0,0,none,0,1.0,0,78290.41200333367,-0.013310467574485322,1.0,0.0,1.0,-0.013310467574485322,-0.013310467574485322,-0.5118578689341764,-0.3339345630799022,0.94895866661765,0.94895866661765,-1.5393890028514927,-1.3518957935967189
2025-02-12,77472.97311735935,down_trend,31.0,0,,21,speculation_change_rate,-0.2969008935238422,-1.0201591693480812,-0.3522574206124786,-0.2969008935238422,0.1,0,0,none,0,1.0,0,77236.37300711819,0.0030633249727993884,1.0,0.0,1.0,0.0030633249727993884,0.0030633249727993884,-0.508794543961377,-0.33087123810710284,0.94895866661765,0.94895866661765,-1.53616091180753,-1.348667702552756
2025-02-13,77282.54287120473,down_trend,31.0,0,,21,speculation_change_rate,0.0861379308234981,-0.9375309477764184,0.0826282215716627,0.0861379308234981,0.65,0,0,none,0,1.0,0,77344.87033421267,-0.0008058383540966341,1.0,0.0,1.0,-0.0008058383540966341,-0.0008058383540966341,-0.5096003823154736,-0.33167707646119937,0.94895866661765,0.94895866661765,-1.5370100935289728,-1.349516884274199
2025-02-14,76778.3945553336,down_trend,31.0,0,,21,speculation_change_rate,0.1322466846370869,-0.813327072445674,0.1242038753307444,0.1322466846370869,0.65,0,0,none,0,1.0,0,77202.76522183692,-0.005496832468162556,1.0,0.0,1.0,-0.005496832468162556,-0.005496832468162556,-0.5150972147836361,-0.33717390892936194,0.94895866661765,0.94895866661765,-1.5428025823501716,-1.3553093730953978
2025-02-17,77152.29209240971,down_trend,31.0,0,,21,speculation_change_rate,-0.2079212036613934,-1.046421474235696,-0.233094401790022,-0.2079212036613934,0.15,0,0,none,0,1.0,0,76676.16271003839,0.006209614116604532,1.0,0.0,1.0,0.006209614116604532,0.006209614116604532,-0.5088876006670315,-0.33096429481275735,0.94895866661765,0.94895866661765,-1.5362589737241634,-1.3487657644693896
2025-02-18,77069.38997247192,down_trend,31.0,0,,21,speculation_change_rate,-0.2222087880939852,-1.2977186302151789,-0.2512971559794827,-0.2222087880939852,0.15,0,0,none,0,1.0,0,77366.48134224485,-0.0038400527543535072,1.0,0.0,1.0,-0.0038400527543535072,-0.0038400527543535072,-0.5127276534213852,-0.33480434756711097,0.94895866661765,0.94895866661765,-1.5403055701560615,-1.3528123609012876
2025-02-19,77313.01845608462,down_trend,31.0,0,,21,speculation_change_rate,0.196855674657542,-1.1180207834588871,0.1796978467562917,0.196855674657542,0.75,0,0,none,0,1.0,0,77236.44047485398,0.0009914747593213389,1.0,0.0,1.0,0.0009914747593213389,0.0009914747593213389,-0.5117361786620638,-0.3338128728077896,0.94895866661765,0.94895866661765,-1.539260767264008,-1.351767558009234
2025-02-20,77216.24467162298,down_trend,31.0,0,,21,speculation_change_rate,0.0075143166658453,-1.1105345586309794,0.0074862248279077,0.0075143166658453,0.55,0,0,none,0,1.0,0,77367.4042273861,-0.0019537886435850717,1.0,0.0,1.0,-0.0019537886435850717,-0.0019537886435850717,-0.5136899673056488,-0.33576666145137457,0.94895866661765,0.94895866661765,-1.5413196437064864,-1.3538264344517126
2025-02-21,76708.1847371373,down_trend,31.0,0,,21,speculation_change_rate,0.1969676510883262,-0.9307431574091918,0.1797914012217876,0.1969676510883262,0.8,0,0,none,0,1.0,0,77070.95238095238,-0.004706930855375506,1.0,0.0,1.0,-0.004706930855375506,-0.004706930855375506,-0.5183968981610243,-0.3404735923067501,0.94895866661765,0.94895866661765,-1.5462797447319108,-1.3587865354771371
