date,close,trend,segment_id,is_reversal_window,reversal_segment_id,factor_id,factor_name,factor_value,speculation,speculation_first_diff,speculation_down_flag,speculation_down_days,speculation_down_streak,signal,position_scale,is_effective_signal,open,realtime_trend,realtime_position,realtime_segment_id,base_position,factor_position,daily_price_return,strategy_return,base_strategy_return,nav,base_nav,running_max,drawdown
2025-11-10,87263.16601087779,up_trend,39.0,0,,23,speculation_continuous_drop,1.0,0.2809033576792054,0.1205149358511349,0.0,1.0,0,0,1.0,0,82676.24205545326,up_trend,1.0,50.0,1.0,1.0,4586.923955424529,4586.923955424529,4586.923955424529,47146.69960699073,53947.24396455677,90708.09774293537,43561.39813594463
2025-11-11,86597.97612100946,up_trend,39.0,0,,23,speculation_continuous_drop,2.0,0.1257770649202156,-0.1551262927589898,1.0,2.0,1,0,1.0,0,87647.56146791585,up_trend,1.0,50.0,1.0,1.0,-1049.5853469063877,-1049.5853469063877,-1049.5853469063877,46097.114260084345,52897.658617650384,90708.09774293537,44610.98348285102
2025-11-12,86625.2703334333,up_trend,39.0,0,,23,speculation_continuous_drop,1.0,0.3425319760326358,0.2167549111124202,0.0,1.0,0,0,1.0,0,86882.0017364286,up_trend,1.0,50.0,1.0,1.0,-256.7314029952977,-256.7314029952977,-256.7314029952977,45840.38285708905,52640.92721465509,90708.09774293537,44867.71488584632
2025-11-13,87885.28761296567,up_trend,39.0,0,,23,speculation_continuous_drop,2.0,0.292074385762664,-0.0504575902699718,1.0,2.0,1,0,1.0,0,86435.64090827676,up_trend,1.0,50.0,1.0,1.0,1449.646704688901,1449.646704688901,1449.646704688901,47290.02956177795,54090.57391934399,90708.09774293537,43418.06818115742
2025-11-14,87524.8517046308,up_trend,39.0,1,39.0,23,speculation_continuous_drop,3.0,-0.0870395837451496,-0.3791139695078135,1.0,3.0,2,0,1.0,0,87640.59150818801,up_trend,1.0,50.0,1.0,1.0,-115.73980355721142,-115.73980355721142,-115.73980355721142,47174.28975822074,53974.834115786776,90708.09774293537,43533.80798471463
2025-11-17,95362.68556890875,up_trend,39.0,1,39.0,23,speculation_continuous_drop,3.0,0.5031669400595563,0.590206523804706,0.0,3.0,0,0,1.0,0,88075.61295069334,up_trend,1.0,50.0,1.0,1.0,7287.072618215418,7287.072618215418,7287.072618215418,54461.362376436155,61261.906734002194,90708.09774293537,36246.73536649921
2025-11-18,93815.03801262262,up_trend,39.0,1,39.0,23,speculation_continuous_drop,2.0,0.6703367240686223,0.167169784009066,0.0,2.0,0,0,1.0,0,95987.51633451723,up_trend,1.0,50.0,1.0,1.0,-2172.4783218946104,-2172.4783218946104,-2172.4783218946104,52288.884054541544,59089.42841210758,90708.09774293537,38419.21368839382
2025-11-19,99785.99208447618,up_trend,39.0,1,39.0,23,speculation_continuous_drop,2.0,0.7972606264922603,0.1269239024236379,0.0,2.0,0,0,1.0,0,93904.93402428048,up_trend,1.0,50.0,1.0,1.0,5881.0580601957045,5881.0580601957045,5881.0580601957045,58169.94211473725,64970.48647230329,90708.09774293537,32538.155628198117
2025-11-20,99487.06486152818,no_trend,,1,39.0,23,speculation_continuous_drop,1.0,0.8433411311226615,0.0460805046304012,0.0,1.0,0,0,1.0,0,99712.76361093718,up_trend,1.0,50.0,1.0,1.0,-225.698749408999,-225.698749408999,-225.698749408999,57944.24336532825,64744.78772289429,90708.09774293537,32763.854377607116
2025-11-21,91473.83576451118,no_trend,,1,39.0,23,speculation_continuous_drop,1.0,0.7466188975454795,-0.096722233577182,1.0,1.0,1,0,1.0,0,95243.787035506,down_trend,-1.0,51.0,1.0,1.0,-3769.9512709948176,-3769.9512709948176,-3769.9512709948176,54174.29209433343,60974.83645189947,90708.09774293537,36533.805648601934
