date,open,close,high,low,volume,total_turnover,open_interest,speculation,factor_id,factor_name,factor_value,daily_return,price_ma_5,price_ma_10,price_ma_20,is_ma_bullish,open_interest_ma_5,open_interest_ma_10,is_open_interest_ma_bullish,speculation_median_past,speculation_mad_past,speculation_mad_score,signal,position,position_scale,base_position,factor_position_source,strategy_position,base_return,strategy_return,base_nav,strategy_nav,base_running_max,strategy_running_max,base_drawdown,strategy_drawdown
2025-03-21,81098.25000809427,80398.4901522949,81584.17945168576,80000.75618072573,257112.0,103958451600.0,573230.0,-0.8017752447090435,12,price_up_speculation_up,1.0090802114031607,-0.0085591692021032,80534.66619414606,79978.34283191097,78771.44462609055,1,577006.0,569551.5,1,-1.0762643258346785,0.1834743627945469,1.0090802114031607,1,0.0,0.0,1.0,position,1.0,-0.0085591692021032,-0.0085591692021032,1.4509159071999123,1.6196701546392553,1.579839600581723,1.7653473118345266,-0.08160555877592823,-0.08252039483600848
2025-03-22,80389.157535549,80431.19522510923,80436.42689502945,80333.60686613173,4617.0,1859124450.0,572411.0,-4.820112121303332,12,price_up_speculation_up,-15.163778747557172,0.0004067871517534627,80590.61791477322,80179.81613633048,78942.78065915905,1,576571.4,576073.5,1,-0.9845482581549896,0.1706073681325933,-15.163778747557172,0,1.0,1.0,1.0,position,0.0,0.0004067871517534627,0.0,1.451506121149236,1.6196701546392553,1.579839600581723,1.7653473118345266,-0.08123196771699648,-0.08252039483600848
2025-03-24,80487.64192749956,81371.25212127875,81902.30561002714,80462.2291800948,230195.0,93645954800.0,582196.0,-0.9278803849880533,12,price_up_speculation_up,0.5138362424809039,0.011687715115242359,80830.78975871656,80370.78661397328,79170.91264127617,1,579160.2,578111.7,1,-1.0762643258346785,0.1947772241058751,0.5138362424809039,0,1.0,1.0,1.0,position,1.0,0.011687715115242359,0.011687715115242359,1.4684709111812586,1.6386003979873396,1.579839600581723,1.7653473118345266,-0.0704936686986809,-0.07179715458680669
2025-03-25,81371.25355547921,82367.98651993995,82509.57132732646,81236.55561735164,242328.0,99133804550.0,601481.0,-0.9091027668482792,12,price_up_speculation_up,0.614521425000772,0.012249220365635027,81132.29984866,80625.94703503173,79448.42058890777,1,583232.0,580631.6,1,-1.0762643258346785,0.1834743627945469,0.614521425000772,0,1.0,1.0,1.0,position,1.0,0.012249220365635027,0.012249220365635027,1.4864585349728427,1.6586719753535037,1.579839600581723,1.7653473118345266,-0.059107940815318116,-0.06042739338933101
2025-03-26,82375.5887980981,81371.66035201264,83123.6401959817,81213.07089806211,378758.0,155570877650.0,597024.0,-0.4550598348768671,12,price_up_speculation_up,2.337594042762271,-0.012096036458122184,81188.1168741271,80798.84511472561,79661.56816144193,1,585268.4,582023.2,1,-1.0762643258346785,0.1792427090546964,2.337594042762271,1,0.0,0.0,1.0,position,1.0,-0.012096036458122184,-0.012096036458122184,1.4684782783403243,1.6386086186675621,1.579839600581723,1.7653473118345266,-0.07048900546637371,-0.0717924978939466
2025-03-27,81364.2343981093,80676.90646472907,81834.07255372331,80452.9201633256,319516.0,129725421650.0,584603.0,-0.6041256335669936,12,price_up_speculation_up,1.3723466630209742,-0.008538032581344335,81243.80013661392,80889.23316537999,79860.55704310127,1,587543.0,582274.5,1,-1.0512739132945412,0.2197676366460124,1.3723466630209742,1,0.0,0.0,1.0,position,0.0,-0.008538032581344335,-0.0,1.4559403629548582,1.6386086186675621,1.579839600581723,1.7653473118345266,-0.07842520062241953,-0.0717924978939466
2025-03-28,80679.03695732506,80513.27714311604,81103.13670902264,80229.70063508528,267846.0,107955250350.0,573884.0,-0.7620150968202827,12,price_up_speculation_up,0.4685464563049374,-0.00202820520497482,81260.2165202153,80925.41721749425,80000.29297973184,1,587837.6,582204.5,1,-0.9437191153014528,0.2615699676644982,0.4685464563049374,0,1.0,1.0,1.0,position,0.0,-0.00202820520497482,-0.0,1.4529874171325803,1.6386086186675621,1.579839600581723,1.7653473118345266,-0.0802943434272908,-0.0717924978939466
2025-03-29,80508.01675374057,80326.60687465807,80550.6824468113,80310.83424765845,8587.0,3455197850.0,573934.0,-4.202264975439818,12,price_up_speculation_up,-11.627405933087983,-0.0023185029237619004,81051.28747089115,80941.03861480387,80081.609527839,1,586185.2,582672.7,1,-0.9184915759181662,0.1904874420769737,-11.627405933087983,0,1.0,1.0,1.0,position,1.0,-0.0023185029237619004,-0.0023185029237619004,1.449618661557769,1.63480949979428,1.579839600581723,1.7653473118345266,-0.08242668368105499,-0.07394454970143716
2025-03-31,80237.2483046063,79523.62086928269,80371.9120857659,79339.01555316789,266921.0,106617723350.0,566306.0,-0.7521818336853038,12,price_up_speculation_up,0.5888807321024062,-0.00999651344203245,80482.4143407597,80807.35709470985,80134.16916087254,0,579150.2,581191.1,0,-0.9184915759181662,0.1904874420769737,0.5888807321024062,0,1.0,1.0,1.0,position,1.0,-0.00999651344203245,-0.00999651344203245,1.4351275291216858,1.6184671046544241,1.579839600581723,1.7653473118345266,-0.09159921767168755,-0.08320187545841418
2025-04-01,79525.47896028677,79602.55965544314,80338.8296633338,79470.08723027134,229620.0,91767400100.0,569311.0,-0.908001089079058,12,price_up_speculation_up,-0.3419164941485149,0.0009926457736399996,80128.59420144581,80658.35553778645,80199.47934289821,0,573607.6,579438.0,0,-0.8554390057786614,0.1036880059647742,-0.3419164941485149,0,1.0,1.0,1.0,position,1.0,0.0009926457736399996,0.0009926457736399996,1.436552102398103,1.6200736691856348,1.579839600581723,1.7653473118345266,-0.09069749747433808,-0.08229181967480681
2025-04-02,79601.95188527787,79674.99542421557,80090.43836417327,79545.02311592063,155174.0,61977357150.0,570394.0,-1.3017802821687676,12,price_up_speculation_up,-3.08237572233778,0.000909967833772729,79928.21199334311,80586.00606497852,80282.17444844474,0,570765.8,579154.4,0,-0.8548881668940507,0.0977897016412574,-3.08237572233778,0,1.0,1.0,1.0,position,1.0,0.000909967833772729,0.000909967833772729,1.437859318602824,1.6215478841129358,1.579839600581723,1.7653473118345266,-0.08987006144587062,-0.08145673474992088
2025-04-03,79678.40908174447,78724.13528667875,79678.40908174447,78532.27194382943,208018.0,82128546450.0,555901.0,-0.9829656064238774,12,price_up_speculation_up,-0.2178460584044296,-0.011934235232448076,79570.38362205565,80415.30007113547,80297.55810373297,0,567169.2,577503.4,0,-0.9085519279636686,0.2303981943375199,-0.2178460584044296,0,1.0,1.0,1.0,position,1.0,-0.011934235232448076,-0.011934235232448076,1.4206995672634504,1.6021959502232537,1.579839600581723,1.7653473118345266,-0.10073176622466906,-0.09241884614859619
2025-04-07,73499.26250571088,72994.41644813425,75327.5632990048,72479.45586041745,675309.0,249613835500.0,533483.0,0.2357431587100945,12,price_up_speculation_up,5.096063492096468,-0.0727822391148456,78103.94553675088,79577.61650382102,79974.20155889716,0,559079.0,572632.1,0,-0.9085519279636686,0.1514534627108753,5.096063492096468,0,1.0,1.0,1.0,position,1.0,-0.0727822391148456,-0.0727822391148456,1.3172978716485242,1.4855845414652675,1.579839600581723,1.7653473118345266,-0.1661825218436901,-0.15847463470433654
