date,open,close,high,low,volume,total_turnover,open_interest,speculation,factor_id,factor_name,factor_value,daily_return,is_up_day,price_up_ratio,log_open_interest,delta_log_open_interest,oi_change_rate,log_open_interest_median_past,log_open_interest_mad_past,log_open_interest_mad_score,signal,position,position_scale,base_position,factor_position_source,strategy_position,base_return,strategy_return,base_nav,strategy_nav,base_running_max,strategy_running_max,base_drawdown,strategy_drawdown
2023-08-23,194557.7436274961,196128.50058430465,196390.6815590188,192090.3564733628,42217.0,8361624400.0,33373.0,0.2350757936929626,42,price_up_oi_down,0.2239800129609814,0.00800057075478433,1,0.4,10.415502468813338,0.029527040542975,2.9967285970002866,10.38906750796552,0.0796059281500864,0.2239800129609814,0,1.0,1.0,1.0,position,1.0,0.00800057075478433,0.00800057075478433,0.915913951985735,0.915913951985735,1.042570101565494,1.042570101565494,-0.12148454035807832,-0.12148454035807832
2023-08-24,197183.17595923255,195419.81314730016,199271.6426858513,193597.96966368848,38394.0,7649422600.0,32539.0,0.1654618274742042,42,price_up_oi_down,-0.1946124951852675,-0.003613383240544721,0,0.4,10.390194648893312,-0.0253078199200267,-2.499026158870954,10.403831028237008,0.0472611578776236,-0.1946124951852675,0,1.0,1.0,1.0,position,1.0,-0.003613383240544721,-0.003613383240544721,0.9126044038618487,0.9126044038618487,1.042570101565494,1.042570101565494,-0.12465895339650779,-0.12465895339650779
2023-08-25,195890.9368479195,190778.92248989124,196830.8779305266,190743.4050914061,39471.0,7765552450.0,35118.0,0.1168524055146719,42,price_up_oi_down,0.9557261742441544,-0.023748311814784095,0,0.4,10.466469098519276,0.0762744496259646,7.925873567104058,10.403831028237008,0.0442059668707974,0.9557261742441544,0,1.0,1.0,1.0,position,1.0,-0.023748311814784095,-0.023748311814784095,0.8909315899153923,0.8909315899153923,1.042570101565494,1.042570101565494,-0.145446825515527,-0.145446825515527
2023-08-28,192089.34118450247,182823.25598746547,193930.8910691679,180566.2123813612,87989.0,16630150950.0,40209.0,0.7831209555005861,42,price_up_oi_down,2.8905402889068013,-0.04170097198681533,0,0.4,10.601846130146606,0.1353770316273301,14.496839227746428,10.431034920322396,0.0398578020453994,2.8905402889068013,0,1.0,1.0,1.0,position,1.0,-0.04170097198681533,-0.04170097198681533,0.8537788766421617,0.8537788766421617,1.042570101565494,1.042570101565494,-0.1810825235059481,-0.1810825235059481
2023-08-29,182575.4776284975,183944.18517804652,186637.9377385496,178290.49707959627,83976.0,15490366500.0,41506.0,0.704693048634028,42,price_up_oi_down,2.68267590967333,0.006131217741018213,1,0.5,10.633593274081605,0.0317471439349983,3.225645999651716,10.449622562838275,0.0462547653627165,2.68267590967333,0,1.0,1.0,1.0,position,1.0,0.006131217741018213,0.006131217741018213,0.8590135808375366,0.8590135808375366,1.042570101565494,1.042570101565494,-0.17606156214563806,-0.17606156214563806
2023-08-30,185547.23854006163,183383.0947994899,186357.2368421052,182307.0392071593,65100.0,12081029200.0,42342.0,0.4301450479677753,42,price_up_oi_down,2.353252805332818,-0.003050329522586104,0,0.4,10.653534780228885,0.0199415061472798,2.0141666265118596,10.449622562838275,0.0584454445612818,2.353252805332818,0,1.0,1.0,1.0,position,1.0,-0.003050329522586104,-0.003050329522586104,0.8563933063516055,0.8563933063516055,1.042570101565494,1.042570101565494,-0.17857484588741868,-0.17857484588741868
2023-08-31,183930.2542910141,184364.5029335453,184445.8657260217,179155.2336764675,83801.0,15406036100.0,42781.0,0.6723508618009333,42,price_up_oi_down,2.104464767414061,0.005351682689881843,1,0.5,10.663849357772266,0.0103145775433812,1.0367956166454917,10.456518235175364,0.0664505904339458,2.104464767414061,0,1.0,1.0,1.0,position,1.0,0.005351682689881843,0.005351682689881843,0.8609764515849381,0.8609764515849381,1.042570101565494,1.042570101565494,-0.1741788391091208,-0.1741788391091208
2023-09-01,185445.62961066765,184103.68802188992,187957.24538540025,182974.90492105568,79436.0,14897708600.0,42394.0,0.627944823211373,42,price_up_oi_down,1.9539299095660188,-0.0014146698930943558,0,0.4,10.654762121772682,-0.0090872359995834,-0.9046071854327932,10.456518235175364,0.0684331965935252,1.9539299095660188,0,1.0,1.0,1.0,position,1.0,-0.0014146698930943558,-0.0014146698930943558,0.8597584541202177,0.8597584541202177,1.042570101565494,1.042570101565494,-0.17534710344251336,-0.17534710344251336
2023-09-04,185547.80203033783,187126.3395181521,188928.1771968046,184634.9978189498,68690.0,13008244300.0,42254.0,0.4859046043477473,42,price_up_oi_down,0.6593464528244739,0.016418201768466423,1,0.4,10.65145430286018,-0.0033078189125017,-0.3302354106712646,10.53415761433294,0.119990836667843,0.6593464528244739,0,1.0,1.0,1.0,position,1.0,0.016418201768466423,0.016418201768466423,0.8738741418921082,0.8738741418921082,1.042570101565494,1.042570101565494,-0.16180778579788224,-0.16180778579788224
2023-09-05,188310.9369101548,187481.0988396477,190878.90534361565,186092.07441270992,68568.0,13063682000.0,42918.0,0.4685346352422799,42,price_up_oi_down,0.8000409967863132,0.0018958278263183637,1,0.5,10.66704659733644,0.0155922944762583,1.5714488569128937,10.617719702114105,0.0415860376583694,0.8000409967863132,0,1.0,1.0,1.0,position,1.0,0.0018958278263183637,0.0018958278263183637,0.8755308568070074,0.8755308568070074,1.042570101565494,1.042570101565494,-0.16021871767439444,-0.16021871767439444
2023-09-06,187975.35199832992,187410.7465832597,189345.8439854302,186605.4023335112,46941.0,8938236200.0,44121.0,0.0619556344017436,42,price_up_oi_down,1.5349025196933632,-0.0003752498615776645,0,0.4,10.694691138568423,0.0276445412319841,2.803019712008892,10.642523788470893,0.0229241890834597,1.5349025196933632,0,1.0,1.0,1.0,position,1.0,-0.0003752498615776645,-0.0003752498615776645,0.8752023139741836,0.8752023139741836,1.042570101565494,1.042570101565494,-0.16053384548434269,-0.16053384548434269
2023-09-07,186668.02229234297,181934.7677695439,186746.07727406867,180758.89795171167,65120.0,12056042100.0,47905.0,0.3070118385914482,42,price_up_oi_down,5.019592681149912,-0.029219129177755154,0,0.4,10.776975162084971,0.08228402351655,8.576414859137337,10.652494541544533,0.016726661627417,5.019592681149912,0,1.0,1.0,1.0,position,1.0,-0.029219129177755154,-0.029219129177755154,0.8496296645055017,0.8496296645055017,1.042570101565494,1.042570101565494,-0.18506231549348895,-0.18506231549348895
2023-09-08,180584.0095588844,173951.38707074328,181376.37590002484,173781.73535016677,121405.0,21665988550.0,55765.0,0.7779856314922208,42,price_up_oi_down,11.079230238233604,-0.04388045669705709,0,0.4,10.928901711428637,0.1519265493436634,16.407473123891016,10.654148451000784,0.016726661627417,11.079230238233604,0,1.0,1.0,1.0,position,1.0,-0.04388045669705709,-0.04388045669705709,0.8123475268036329,0.8123475268036329,1.042570101565494,1.042570101565494,-0.2208221532692769,-0.2208221532692769
