date,open,close,high,low,volume,total_turnover,open_interest,speculation,threshold,realtime_trend,realtime_position,realtime_segment_id,trend,segment_id,is_reversal_window,reversal_segment_id,reversal_trend,is_uptrend_reversal_window,is_downtrend_reversal_window,factor_id,factor_name,factor_value,daily_return,price_ma_5,price_ma_5_prev,price_ma_5_change,volume_ma_5,volume_ma_5_prev,volume_ma_5_change,oi_change_5,oi_change_5_rate,is_price_ma_5_up,is_volume_ma_5_up,is_oi_down_5,price_volume_oi_short_score,signal,position_scale,is_effective_signal,base_position,reduce_signal,strategy_position,base_return,strategy_return,base_nav,strategy_nav,base_running_max,strategy_running_max,base_drawdown,strategy_drawdown
2024-12-11,78285.97115050399,78438.40527279452,78775.76621940547,78047.53341691893,177745.0,13823553600.0,429829.0,-0.8830375162830688,0.04,down_trend,-1.0,37.0,down_trend,29.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.0601543709275375,0.0019471448083269217,78170.2827746167,78968.10382993508,-0.0101030798084825,240145.0,312381.0,-0.2312432574324302,-27511.0,-0.0601543709275375,0,0,1,0.0601543709275375,0,1.0,0,1.0,0.0,1.0,0.0019471448083269217,0.0019471448083269217,-0.4951203079281279,-0.5437101040791621,0.94895866661765,0.94895866661765,-1.5217511840561748,-1.5729544638831263
2024-12-12,78571.61384326659,78831.43105109982,79333.52255364072,77876.3219149124,190109.0,14835793050.0,422291.0,-0.7980970579720583,0.04,down_trend,-1.0,37.0,down_trend,29.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.0575860029681206,0.0033067566659825444,78375.45125310567,78680.107204598,-0.0038720835839751,236161.2,280452.0,-0.1579264900945616,-25804.0,-0.0575860029681206,0,0,1,0.0575860029681206,0,1.0,0,1.0,0.0,1.0,0.0033067566659825444,0.0033067566659825444,-0.4918135512621453,-0.5404033474131795,0.94895866661765,0.94895866661765,-1.5182665679371516,-1.5694698477641031
2024-12-13,78608.67491569438,77574.58825446153,78728.88007914502,77521.86094618075,197179.0,15263549850.0,411237.0,-0.7350577450119276,0.04,down_trend,-1.0,37.0,down_trend,29.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.0675088263504826,-0.013154866970367874,78275.80312416128,78362.67378761058,-0.0011085719673724,227411.8,257876.2,-0.1181357566149959,-29772.0,-0.0675088263504826,0,0,1,0.0675088263504826,0,1.0,0,1.0,0.0,1.0,-0.013154866970367874,-0.013154866970367874,-0.5049684182325131,-0.5535582143835474,0.94895866661765,0.94895866661765,-1.5321289914895446,-1.583332271316496
2024-12-16,77354.24349669184,77589.47237802156,78045.43220042306,76547.67202836733,219614.0,16906847350.0,402940.0,-0.6069162076076109,0.04,down_trend,-1.0,37.0,down_trend,29.0,1,29.0,down_trend,0,1,51,price_volume_up_oi_down_short_5d,0.0670474915751965,0.0030409305384749823,78145.26309889481,78127.42798788598,0.0002282823262989,222605.4,257313.8,-0.1348874409378743,-28852.0,-0.0668192092488976,1,0,1,0.0670474915751965,0,1.0,0,1.0,0.0,1.0,0.0030409305384749823,0.0030409305384749823,-0.5019274876940383,-0.5505172838450725,0.94895866661765,0.94895866661765,-1.5289244994021143,-1.5801277792290656
2024-12-17,77635.952068452,76758.36463191843,77688.76195764658,76380.50760396289,186858.0,14307553500.0,391924.0,-0.7407189733354872,0.0393440121516553,down_trend,-1.0,37.0,down_trend,29.0,1,29.0,down_trend,0,1,51,price_volume_up_oi_down_short_5d,0.0925353505183044,-0.011303879364547357,77838.45231765918,77979.1236293594,-0.0018039611777229,194301.0,269768.0,-0.2797477832804483,-39965.0,-0.0925353505183044,0,0,1,0.0925353505183044,0,1.0,0,1.0,0.0,1.0,-0.011303879364547357,-0.011303879364547357,-0.5132313670585857,-0.56182116320962,0.94895866661765,0.94895866661765,-1.5408363768760167,-1.5920396567029682
2024-12-18,76951.04864052814,76074.4258131385,77302.59696751938,76045.45509587313,218103.0,16617930220.0,389786.0,-0.5806304423030201,0.0384902084792388,down_trend,-1.0,37.0,down_trend,29.0,1,29.0,down_trend,0,1,51,price_volume_up_oi_down_short_5d,0.0931603032833987,-0.011391954273225416,77365.65642572797,78170.2827746167,-0.0102932510965664,202372.6,240145.0,-0.1572899706427366,-40043.0,-0.0931603032833987,0,0,1,0.0931603032833987,0,1.0,0,1.0,0.0,1.0,-0.011391954273225416,-0.011391954273225416,-0.5246233213318112,-0.5732131174828454,0.94895866661765,0.94895866661765,-1.552841066515271,-1.6040443463422225
2024-12-19,75825.16506425213,75646.59865128386,76044.67458828435,75338.10215585779,187038.0,14109307920.0,373837.0,-0.6925080687698434,0.0384902084792388,down_trend,-1.0,37.0,up_trend,30.0,1,29.0,down_trend,0,1,51,price_volume_up_oi_down_short_5d,0.1147407830145563,-0.002354975591770329,76728.68994576478,78375.45125310567,-0.0210111875722773,201758.4,236161.2,-0.1456750727892644,-48454.0,-0.1147407830145563,0,0,1,0.1147407830145563,0,1.0,0,1.0,0.0,1.0,-0.002354975591770329,-0.002354975591770329,-0.5269782969235814,-0.5755680930746156,0.94895866661765,0.94895866661765,-1.5553227084187737,-1.606525988245725
2024-12-20,75625.32430406852,76834.7565027762,76961.04441329479,75543.41284796575,206713.0,15814901480.0,367766.0,-0.5761155085611237,0.0384902084792388,down_trend,-1.0,37.0,up_trend,30.0,1,29.0,down_trend,0,1,51,price_volume_up_oi_down_short_5d,0.1057079007968641,0.01599242330313707,76580.72359542771,78275.80312416128,-0.0216552173351044,203665.2,227411.8,-0.1044211426144112,-43471.0,-0.1057079007968641,0,0,1,0.1057079007968641,0,1.0,0,1.0,0.0,1.0,0.01599242330313707,0.01599242330313707,-0.5109858736204445,-0.5595756697714787,0.94895866661765,0.94895866661765,-1.5384701058073886,-1.58967338563434
2024-12-23,76868.31534754214,76341.99427686159,77300.41961699935,76266.6398938437,157470.0,12088808740.0,367281.0,-0.8468922587233039,0.0325386574226133,down_trend,-1.0,37.0,up_trend,30.0,1,29.0,down_trend,0,1,51,price_volume_up_oi_down_short_5d,0.0884970467067057,-0.00684704833585746,76331.22797519571,78145.26309889481,-0.0232136287186517,191236.4,222605.4,-0.1409175159272866,-35659.0,-0.0884970467067057,0,0,1,0.0884970467067057,0,1.0,0,1.0,0.0,1.0,-0.00684704833585746,-0.00684704833585746,-0.5178329219563018,-0.566422718107336,0.94895866661765,0.94895866661765,-1.545685434121173,-1.5968887139481245
2024-12-24,76177.51070084762,77258.71487875807,77475.9821724141,76151.32352660704,162575.0,12547997780.0,370004.0,-0.8223743826354291,0.0325386574226133,down_trend,-1.0,37.0,up_trend,30.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.0559292107653524,0.01419322012445882,76431.29802456364,77838.45231765918,-0.0180778811910715,186379.8,194301.0,-0.0407676748961662,-21920.0,-0.0559292107653524,0,0,1,0.0559292107653524,0,1.0,0,1.0,0.0,1.0,0.01419322012445882,0.01419322012445882,-0.503639701831843,-0.5522294979828772,0.94895866661765,0.94895866661765,-1.5307288078488746,-1.5819320876758258
