date,open,close,high,low,volume,total_turnover,open_interest,speculation,threshold,realtime_trend,realtime_position,realtime_segment_id,trend,segment_id,is_reversal_window,reversal_segment_id,reversal_trend,is_uptrend_reversal_window,is_downtrend_reversal_window,factor_id,factor_name,factor_value,ret_3,ret_5,realtime_trend_age,close_rank_20,close_rank_60,oi_ret_3,volume_mad_score,close_location,volume_to_open_interest,price_efficiency_5,price_efficiency_low_rank_20,push_failure_score,signal,position_scale,is_effective_signal,daily_return,base_position,reduce_signal,strategy_position,base_return,strategy_return,base_nav,strategy_nav,base_running_max,strategy_running_max,base_drawdown,strategy_drawdown
2025-12-03,95825.3310298964,93184.9829012468,97012.8317608656,92123.7651278772,874952.0,82790143280.0,1062943.0,-0.1946277273691737,0.04,up_trend,1.0,52.0,down_trend,40.0,1,40.0,down_trend,0,1,45,uptrend_push_failure,2.082940619747508,-0.0274983184677151,-0.0261393841263679,7,0.5,0.8333333333333334,-0.0073384075512024,-0.5333959673624638,0.2170593802524916,0.8231410339030409,0.0317556567462374,0.8,2.082940619747508,0,1.0,0,-0.029626304974233242,1.0,0.0,1.0,-0.029626304974233242,-0.029626304974233242,0.43517095017058627,0.4615145007615045,1.042570101565494,1.042570101565494,-0.5825978996355777,-0.5573300058494798
2025-12-04,93375.82543688171,93290.9207135939,94118.91389618372,91215.7044982764,878929.0,81820810260.0,1045917.0,-0.1739451707556575,0.04,up_trend,1.0,52.0,down_trend,40.0,1,40.0,down_trend,0,1,45,uptrend_push_failure,1.5851992636792382,-0.0321799968194203,-0.0205255199772078,8,0.5,0.8333333333333334,-0.0303878417229874,-0.4487119224284611,0.7148007363207619,0.840342971765446,0.0244251700399023,0.8,1.5851992636792382,0,1.0,0,0.0011368549850931942,1.0,0.0,1.0,0.0011368549850931942,0.0011368549850931942,0.4356656764346554,0.462039175822388,1.042570101565494,1.042570101565494,-0.58212337397699,-0.5568267542598786
2025-12-05,93034.53546790572,91762.80919857872,93458.76203456812,91699.91084232244,635658.0,59054278680.0,1052293.0,-0.5040661887699388,0.04,down_trend,-1.0,53.0,up_trend,41.0,1,40.0,down_trend,0,1,45,uptrend_push_failure,1.464238955214869,-0.0444359868334766,-0.0423404773029151,1,0.4,0.8,-0.0246190654985909,-1.489006882419605,0.035761044785131,0.6040693989221633,0.0700920744842611,0.0999999999999999,1.464238955214869,0,1.0,0,-0.016380066820291583,1.0,0.0,1.0,-0.016380066820291583,-0.016380066820291583,0.4285294435433482,0.45447094324882487,1.042570101565494,1.042570101565494,-0.5889682210338849,-0.5640859616380673
2025-12-08,91728.0864359336,94412.5482067781,95010.31294088792,90866.27026331754,797660.0,74711403600.0,1053690.0,-0.2783711266978205,0.04,down_trend,-1.0,53.0,up_trend,41.0,1,40.0,down_trend,0,1,45,uptrend_push_failure,1.4942467611024424,0.0131734241646233,-0.0205439928469268,2,0.55,0.85,-0.0087431868860523,-0.3769037595805872,0.8557532388975577,0.7570158205923944,0.0271381288053536,0.8,1.4942467611024424,0,1.0,0,0.028875957823667253,1.0,0.0,1.0,0.028875957823667253,0.028875957823667253,0.4409036416813055,0.4675942270381602,1.042570101565494,1.042570101565494,-0.5770992847202725,-0.5514985262515837
2025-12-09,94169.64400943472,92396.22369720136,94346.34559332224,91932.0936839109,658380.0,61468541620.0,1022990.0,-0.4407027185020209,0.04,down_trend,-1.0,53.0,up_trend,41.0,1,40.0,down_trend,0,1,45,uptrend_push_failure,1.5577541073981689,-0.0095903975386768,-0.0378399801768812,3,0.35,0.7833333333333333,-0.0221643008393161,-1.053480703379794,0.1922458926018312,0.6435840037537024,0.0587957126904641,0.4,1.5577541073981689,0,1.0,0,-0.021356530968327125,1.0,0.0,1.0,-0.021356530968327125,-0.021356530968327125,0.43148746940369054,0.4576080364478088,1.042570101565494,1.042570101565494,-0.5861309769426717,-0.561076961865032
2025-12-10,92509.38216747611,95566.96369037496,96377.8973389726,92485.6714515118,786721.0,74649888500.0,1040523.0,-0.279605075583625,0.04,up_trend,1.0,54.0,up_trend,41.0,0,,,0,0,45,uptrend_push_failure,1.508347015832288,0.0414563865799257,0.0255618525106398,1,0.65,0.8833333333333333,-0.0112481212825201,-0.1891504827771726,0.791652984167712,0.756082277854502,0.0338082947575169,0.65,1.508347015832288,0,1.0,0,0.034316770386251694,1.0,0.0,1.0,0.034316770386251694,0.034316770386251694,0.4462947258157618,0.47331166636149175,1.042570101565494,1.042570101565494,-0.5719283287084311,-0.5460145407481183
2025-12-11,95648.02809816114,98510.09342365916,99134.08583303752,95109.51829529372,916030.0,89519434520.0,1063114.0,-0.1489085010122777,0.04,up_trend,1.0,54.0,up_trend,41.0,0,,,0,0,45,uptrend_push_failure,1.6761769429176034,0.0434004302892747,0.055945130245721,2,0.9,0.9666666666666668,0.0089040480486346,0.9638541792575692,0.844954171218064,0.8616479512074905,0.0649280604303892,0.25,1.6761769429176034,0,1.0,0,0.030796518165205677,1.0,0.0,1.0,0.030796518165205677,0.030796518165205677,0.4600390494463824,0.4878880176923972,1.042570101565494,1.042570101565494,-0.5587452117074903,-0.5320333693055285
2025-12-12,99217.16743064365,97397.64133122387,101239.12585898608,97307.12771298915,933571.0,92904970440.0,1055570.0,-0.1228191664329722,0.04,up_trend,1.0,54.0,up_trend,41.0,0,,,0,0,45,uptrend_push_failure,2.1994061729410097,0.0541301087197354,0.061406491168455,3,0.85,0.95,0.0313511936365262,1.089703695745127,0.0230197509952717,0.8844235815720416,0.0694310876009282,0.0999999999999999,2.1994061729410097,0,1.0,0,-0.01129277268727169,1.0,0.0,1.0,-0.01129277268727169,-0.01129277268727169,0.4548439330337159,0.48237840921175335,1.042570101565494,1.042570101565494,-0.5637282017288477,-0.5373180100911896
2025-12-15,97619.1259919536,100757.24435037804,100889.7477027956,97049.20803316263,850720.0,84432867100.0,1079143.0,-0.2378394368412476,0.04,up_trend,1.0,54.0,up_trend,41.0,0,,,0,0,45,uptrend_push_failure,2.0813238584614746,0.0543104066465784,0.0672018313678397,4,1.0,1.0,0.0364437362505647,0.3859960981698742,0.9654987674088444,0.7883292575682741,0.085245892782331,0.0,2.0813238584614746,0,1.0,0,0.03449367944885884,1.0,0.0,1.0,0.03449367944885884,0.03449367944885884,0.4705331738590391,0.499017415432154,1.042570101565494,1.042570101565494,-0.5486795821667054,-0.521358405844515
2025-12-16,101100.82794813174,100362.44145363112,101922.11573169942,99600.43815307198,747122.0,75366376300.0,1084952.0,-0.3730625336206029,0.04,up_trend,1.0,54.0,up_trend,41.0,0,,,0,0,45,uptrend_push_failure,2.7941469010111772,0.0188036369228241,0.0862180015336606,5,0.95,0.9833333333333332,0.0203334091228164,-0.7704282192314305,0.3282123700439194,0.6886221694600314,0.1252036390307716,0.0,2.7941469010111772,0,1.0,0,-0.003918357427223906,1.0,0.0,1.0,-0.003918357427223906,-0.003918357427223906,0.4686894567024933,0.49706208683608133,1.042570101565494,1.042570101565494,-0.5504480168779804,-0.5232338946899524
