date,close,trend,segment_id,is_reversal_window,reversal_segment_id,factor_id,factor_name,factor_value,speculation,speculation_change,speculation_change_rate,speculation_change_rate_rank,speculation_fast_rise_signal,speculation_fast_drop_signal,signal_type,signal,position_scale,is_effective_signal,realtime_trend,realtime_position,realtime_segment_id,base_position,factor_position,daily_return,strategy_return,base_strategy_return,nav,base_nav,running_max,drawdown
2025-01-06,77081.17974621737,up_trend,29.0,0,,21,speculation_change_rate,0.553436150425149,0.0579550825931468,0.4404693485397256,0.553436150425149,0.95,0,0,none,0,1.0,0,down_trend,-1.0,39.0,-1.0,-1.0,0.017066280381053733,-0.017066280381053733,-0.017066280381053733,1.0300449284043325,1.0601784055965056,2.193729278165493,0.5304594150898565
2025-01-07,78238.59709504947,up_trend,29.0,0,,21,speculation_change_rate,-0.1952125706947607,-0.1592220168160511,-0.2171770994091979,-0.1952125706947607,0.15,0,0,none,0,1.0,0,up_trend,1.0,40.0,1.0,1.0,0.015015563496080242,-0.015015563496080242,-0.015015563496080242,1.0145782233780618,1.044259229430098,2.193729278165493,0.5375098315565614
2025-01-08,76677.90832608871,up_trend,29.0,0,,21,speculation_change_rate,-0.2027672403556925,-0.3858306149216363,-0.2266085981055851,-0.2027672403556925,0.15,0,0,none,0,1.0,0,up_trend,1.0,40.0,1.0,1.0,-0.01994781127101153,-0.01994781127101153,-0.01994781127101153,0.994339608458438,1.0234285434034145,2.193729278165493,0.5467354981513695
2025-01-09,77701.35477379091,up_trend,29.0,0,,21,speculation_change_rate,-0.2064742357339914,-0.6170998853201127,-0.2312692703984764,-0.2064742357339914,0.15,0,0,none,0,1.0,0,up_trend,1.0,40.0,1.0,1.0,0.013347344366121394,0.013347344366121394,0.013347344366121394,1.007611401629407,1.037088596606338,2.193729278165493,0.5406856207562574
2025-01-10,77406.66711529455,up_trend,29.0,0,,21,speculation_change_rate,-0.1299888384696454,-0.7563491233906806,-0.1392492380705678,-0.1299888384696454,0.25,0,0,none,0,1.0,0,up_trend,1.0,40.0,1.0,1.0,-0.0037925678304358,-0.0037925678304358,-0.0037925678304358,1.0037899670420072,1.033155367757537,2.193729278165493,0.5424276016950338
2025-01-13,78216.98265171045,up_trend,29.0,0,,21,speculation_change_rate,0.3895748183475187,-0.4273513091216917,0.3289978142689889,0.3895748183475187,0.9,0,0,none,0,1.0,0,up_trend,1.0,40.0,1.0,1.0,0.010468291254666307,0.010468291254666307,0.010468291254666307,1.0142979327755148,1.0439707390585447,2.193729278165493,0.5376376005594812
2025-01-14,78628.28548595963,up_trend,29.0,0,,21,speculation_change_rate,-0.0368914588176445,-0.4649404711490107,-0.0375891620273189,-0.0368914588176445,0.45,0,0,none,0,1.0,0,up_trend,1.0,40.0,1.0,1.0,0.0052584850540788874,0.0052584850540788874,0.0052584850540788874,1.019631603295398,1.0494604435867796,2.193729278165493,0.5352062747924551
2025-01-15,79763.03859380224,up_trend,29.0,1,29.0,21,speculation_change_rate,0.4763395646520549,-0.0753747140775239,0.3895657570714868,0.4763395646520549,0.9,0,0,none,0,1.0,0,up_trend,1.0,40.0,1.0,1.0,0.014431868898441724,0.014431868898441724,0.014431868898441724,1.0343467929188652,1.0646061191227245,2.193729278165493,0.5284984326854414
2025-01-16,79447.37810758078,up_trend,29.0,1,29.0,21,speculation_change_rate,-0.4471139215838149,-0.6679780192402538,-0.5926033051627299,-0.4471139215838149,0.0,0,1,fast_drop,1,0.7,1,up_trend,1.0,40.0,1.0,0.7,-0.003957478197752495,-0.003957478197752495,-0.003957478197752495,1.0302533880369735,1.0603929636171023,2.193729278165493,0.530364389858295
2025-01-17,80329.66888668691,up_trend,29.0,1,29.0,21,speculation_change_rate,0.3251948512735767,-0.3864185130490085,0.2815595061912453,0.3251948512735767,0.8,0,0,none,0,1.0,0,up_trend,1.0,40.0,1.0,1.0,0.0111053479689589,0.00777374357827123,0.0111053479689589,1.0382623136962181,1.0721689964619059,2.193729278165493,0.5267135630498284
