date,close,trend,segment_id,is_reversal_window,reversal_segment_id,factor_id,factor_name,factor_value,speculation,speculation_median_history,speculation_mad_history,speculation_mad_value,signal,position_scale,is_effective_signal,open,realtime_trend,realtime_position,realtime_segment_id,base_position,factor_position,daily_price_return,strategy_return,base_strategy_return,nav,base_nav,running_max,drawdown
2026-01-08,145184.63443672733,up_trend,42.0,1,42.0,12,speculation_mad,1.3491506157241369,0.1459065966656745,-0.2417738314376976,0.1938159189478676,1.3491506157241369,0,1.0,0,141588.204143394,up_trend,1.0,56.0,1.0,1.0,3596.4302933333383,3596.4302933333383,3596.4302933333383,82951.89379112433,76440.07039653033,113095.75620509371,30143.862413969386
2026-01-09,143679.74584338462,up_trend,42.0,1,42.0,12,speculation_mad,0.306867445456454,-0.1002266775556375,-0.2417738314376976,0.3111188519252987,0.306867445456454,0,1.0,0,142981.7139322871,up_trend,1.0,56.0,1.0,1.0,698.0319110975252,698.0319110975252,698.0319110975252,83649.92570222185,77138.10230762785,113095.75620509371,29445.83050287186
2026-01-13,167443.3787281536,up_trend,42.0,1,42.0,12,speculation_mad,1.798306944972279,0.2710447601278082,-0.2417738314376976,0.1923428045839348,1.798306944972279,0,1.0,0,167529.52447989667,up_trend,1.0,56.0,1.0,1.0,-86.14575174308266,-86.14575174308266,-86.14575174308266,83563.77995047877,77051.95655588477,113095.75620509371,29531.976254614943
2026-01-14,162417.9492236421,no_trend,,1,42.0,12,speculation_mad,1.563051476236836,0.2039575598740982,-0.2417738314376976,0.1923428045839348,1.563051476236836,0,1.0,0,169286.22532991966,up_trend,1.0,56.0,1.0,1.0,-6868.276106277568,-6868.276106277568,-6868.276106277568,76695.5038442012,70183.6804496072,113095.75620509371,36400.25236089251
2026-01-15,163539.22487832644,no_trend,,1,42.0,12,speculation_mad,-0.2943706184510125,-0.2952553136831591,-0.1575999475978257,0.3154094416945908,-0.2943706184510125,0,1.0,0,164843.24689602604,up_trend,1.0,56.0,1.0,1.0,-1304.022017699608,-1304.022017699608,-1304.022017699608,75391.4818265016,68879.65843190759,113095.75620509371,37704.27437859212
2026-01-16,146675.0696779114,up_trend,43.0,0,,12,speculation_mad,1.0661215438620089,0.0622493221676986,-0.2417738314376976,0.1923428045839348,1.0661215438620089,0,1.0,0,163259.50143627636,down_trend,-1.0,57.0,1.0,1.0,-16584.431758364954,-16584.431758364954,-16584.431758364954,58807.05006813664,52295.22667354264,113095.75620509371,54288.70613695707
2026-01-19,147638.95940083844,up_trend,43.0,0,,12,speculation_mad,-0.9747318758570288,-0.5797624354746617,-0.1844005613955094,0.2735808044456028,-0.9747318758570288,0,1.0,0,147848.58743901053,down_trend,-1.0,57.0,-1.0,-1.0,-209.62803817208624,209.62803817208624,209.62803817208624,59016.678106308726,52504.854711714725,113095.75620509371,54079.07809878499
2026-01-20,160827.26077906342,up_trend,43.0,1,43.0,12,speculation_mad,-0.2547151619026839,-0.3035120034398991,-0.1844005613955094,0.3154094416945908,-0.2547151619026839,0,1.0,0,149784.71908237043,up_trend,1.0,58.0,-1.0,-1.0,11042.541696692992,-11042.541696692992,-11042.541696692992,47974.136409615734,41462.31301502173,113095.75620509371,65121.61979547798
2026-01-21,167131.02281302467,up_trend,43.0,1,43.0,12,speculation_mad,-0.83745020685097,-0.542576553478346,-0.1844005613955094,0.288478520812196,-0.83745020685097,0,1.0,0,160784.93201680097,up_trend,1.0,58.0,1.0,1.0,6346.090796223696,6346.090796223696,6346.090796223696,54320.22720583943,47808.40381124543,113095.75620509371,58775.52899925428
2026-01-22,169161.99374638853,up_trend,43.0,1,43.0,12,speculation_mad,-0.4102296441556833,-0.3598550643321824,-0.1844005613955094,0.288478520812196,-0.4102296441556833,0,1.0,0,165802.19210941365,up_trend,1.0,58.0,1.0,1.0,3359.8016369748802,3359.8016369748802,3359.8016369748802,57680.02884281431,51168.20544822031,113095.75620509371,55415.7273622794
